"nbhd_code","UHI2003","UHI2004","UHI2005","UHI2006","UHI2007","UHI2008","UHI2009","UHI2010","UHI2011","UHI2012","UHI2013"
"paris_012",0.444022367444469,0.0701360444313031,0.141269124732413,0.0616863374333916,0.483041883027226,-0.148758179969324,-0.352709602477345,0.106952327570472,-0.0453065064532842,0.570311854063282,-0.773893632555357
"paris_016",-0.0771378467659641,0.220995701791636,0.139322630150774,0.347307520335622,0.0520592554021214,0.261755439170277,0.357078785215109,0.26810501133743,0.24212230004568,-0.0142416938513507,0.701360071562517
"paris_019",1.22798526842137,1.5944834225634,1.485755592544,1.03559033898599,1.12842057875212,1.54484230850424,0.619693108374496,1.69778014047239,1.30947625240267,1.49516508003182,1.10334133193794
"paris_018",2.02805730657776,1.8193657213461,1.64603789726373,1.73343178834569,1.77760631694757,2.09631915931292,0.865529443409192,2.57113937897156,1.69497568687088,1.67571838563489,1.63211957714944
"paris_020",0.719088480872865,0.701995711400626,0.989958315804148,0.84271726505627,1.05382307405873,0.879168136624949,0.0936654745509563,0.870913468761921,0.566965494527835,1.05009815918384,0.330302630973968
"paris_011",0.740104157890934,0.707803478096509,1.16733783155666,0.998313031091911,1.13152878094424,0.743321007612263,0.0684265888710121,0.576334291150312,0.511035413349311,1.05656923185502,0.313444875603771
"paris_010",1.40140185727375,1.46187902215532,1.74893886032527,1.60911472430584,1.47799805377311,1.62582480042028,0.540850355343008,1.59272523064078,1.25041885711248,1.66875239884049,1.24682073541702
"paris_003",1.05013737203988,1.27505181711968,1.99971381187792,1.56370165803645,1.31039932511226,1.35475974005263,0.535948127376215,1.01329414749072,0.947466085679977,1.57407604515077,1.06360249752181
"paris_004",0.797197841385588,1.13845920339685,1.88826634025884,1.23946579307226,1.08019679381614,1.14334805091826,0.596135371463178,0.960536241383241,0.868458681381791,1.27669501289933,0.808174166664071
"paris_002",1.34295663736022,1.57518095458277,2.20160012951105,1.69679629671628,1.33213299573727,1.66080325675818,0.700543941463351,1.25176824322422,1.20205311307024,1.77204272681863,1.4136028619933
"paris_009",1.72325545692123,1.70381706893635,2.03461442787895,1.75090994822367,1.53790661816354,1.824474185475,0.774776127448892,1.7808328098649,1.43134825489332,1.74888170760497,1.5916929485921
"paris_001",0.981996927637867,1.55656268703976,2.24625175595382,1.49172786546656,1.12676827786204,1.6007092182679,0.840198245743136,1.19034397240648,1.10118680546623,1.63108935044472,1.27986194978303
"paris_006",0.770355042451121,1.84352281613554,2.07209428838967,1.34952619689981,1.0733919568253,1.4909824022196,0.995118845534134,1.85807088642161,1.31702705236422,1.4355519758658,1.3081627501474
"paris_007",0.727827572448315,1.66590601545216,1.98245754949824,1.19129047820115,0.924109102812953,1.42686568380689,1.07052040536829,1.63926488767957,1.24708524808282,1.1658923509892,1.19635133361493
"paris_008",1.42153386148098,1.62619471547462,2.1523039804184,1.45922178214673,1.3543857061498,1.59516491705776,1.09059786265926,1.59493884682284,1.24371053829987,1.5786612129589,1.58880523378801
"paris_017",1.75478820834584,1.80068355950855,1.9352796322118,1.48501226434795,1.776600395823,1.85781185134914,1.09726069000669,1.97957224777557,1.43814362794834,1.83487021104904,2.019290342492
"paris_015",0.759723151647754,1.68404947385435,1.50870451299484,0.99575662099057,0.974234309387277,1.18739449696438,1.21015422201615,1.85665542189334,1.67237625864895,1.22557627571941,1.52548718402701
"paris_014",1.02427786877558,1.63686428936536,1.61117417945363,1.27377854762721,1.00163851146984,1.16882909427717,0.952062713373722,2.2909364778317,1.32997916693614,1.65278859495121,1.54537428528537
"paris_013",0.602445344651905,0.985442622169773,1.05484509263859,0.849524436045487,0.835058178235238,0.712906619969175,0.803918968927541,1.63705187411989,0.968253507886139,1.3794423189802,0.421381329310584
"paris_005",0.705058000268478,1.25120570340342,1.76590976517358,1.07898713400938,1.03273436867332,1.14413544052776,0.789559688408311,1.41295063798269,1.11022509280417,1.18101961607115,0.79203602771804
