nbhd_code,UHI2003,UHI2004,UHI2005,UHI2006,UHI2007,UHI2008,UHI2009,UHI2010,UHI2011,UHITREND,Cities_urbanLST_count
amsterdam_051,2.065721317,2.17446111,2.423987312,1.73079486,2.435251021,1.854948771,1.801445062,2.912799565,2.298344625,0.337429668,2
amsterdam_052,2.09581435,2.334154341,2.532040166,1.728792837,2.57975531,1.965232168,2.076271404,3.028397001,2.391655609,0.431832471,1
amsterdam_053,2.223682213,2.76656021,2.767053404,2.043413526,2.598258561,2.197242826,2.486696488,3.335432398,2.475355813,0.384404405,1
amsterdam_054,2.314003519,3.007121657,2.903406953,2.478632295,2.581768306,2.451856294,3.027451012,3.579859605,2.425767829,0.397763867,2
amsterdam_055,1.978811936,2.26285232,2.392518182,1.646373831,2.290278561,1.970412788,2.192765409,2.748718515,2.135804686,0.335017166,2
amsterdam_056,2.185486713,2.784357649,2.801145866,2.098616714,2.451870751,2.454373955,2.904397224,3.202670051,2.32998248,0.399196705,2
amsterdam_057,2.260030217,3.153046275,2.803510809,2.645213172,2.460155675,2.436068194,2.77173526,3.351247606,2.555584932,0.250687796,1
amsterdam_058,2.605262622,3.373184979,3.23241259,2.999670777,2.869164369,2.716845752,3.119065128,3.833859826,2.723763885,0.224418274,1
amsterdam_059,2.152971842,3.161990286,2.604071661,2.491616365,2.288670116,2.275560896,2.435304088,3.067318825,2.46892176,0.071032446,1
amsterdam_060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
amsterdam_061,1.542654858,1.730829731,1.771245606,1.342646313,1.289589213,1.466796657,1.620081423,1.794126763,1.320031378,-0.146463474,6
amsterdam_062,1.643698581,2.359946334,1.957825406,1.702304185,1.538291187,1.669750222,1.889259866,2.182373005,1.788033411,-0.020844285,4
amsterdam_063,2.57242585,2.881528102,3.121014268,2.78442288,2.793969556,2.52548646,2.917693163,3.603825069,2.357760965,0.107108788,1
amsterdam_064,2.470498272,2.571663833,2.92676057,2.60372521,2.570764934,2.207120846,2.573557877,3.401882258,2.022826022,-0.067173913,1
amsterdam_065,1.69346063,1.791617579,1.905201076,1.717995449,1.566928928,1.189836823,1.686646206,2.663844867,1.258401599,-0.014803771,1
amsterdam_066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
amsterdam_067,0.930701616,0.947489184,1.021574131,0.79045036,0.810507659,0.363497282,0.905828555,1.75537056,0.556403976,0.044668223,1
amsterdam_068,0.367230525,0.430726349,0.412765865,0.21579069,0.392455619,-0.018818861,0.286213015,0.874351066,0.115080022,-0.027573852,2
amsterdam_069,0.10829933,-0.108194778,0.602715543,-0.174839559,0.20282067,-0.271399259,0.543599062,0.618476856,-0.103416334,0.186393264,4
amsterdam_070,-1.142408621,-0.438442457,-1.059089834,-1.088015974,-0.824473371,-0.924059273,-1.158084717,-0.812887227,-1.227113714,-0.249364625,2
amsterdam_071,-1.417905934,-0.41911468,-1.40713607,-1.447285812,-1.028319407,-1.130660837,-1.477861401,-0.988597883,-1.56437536,-0.353192167,1
amsterdam_072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
amsterdam_073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
amsterdam_074,2.250488174,2.859697766,2.49071258,2.359531661,2.206956834,2.077272543,1.966526529,2.922959419,2.030900271,-0.336532979,4
amsterdam_075,1.329016048,1.905176474,1.19566587,1.244612395,1.279379897,1.132179868,0.917826154,1.855722987,1.151831726,-0.254201618,2
amsterdam_076,2.04684912,2.989231244,2.204862283,2.052375904,2.009166387,1.921462966,1.704377772,2.442100146,1.968411676,-0.514504172,2
amsterdam_077,2.113893622,3.04643586,2.320378334,2.117153422,2.08996747,1.967147781,2.047205157,2.570546257,2.101448997,-0.362299884,5
amsterdam_078,1.436954318,1.210850688,1.409567389,1.309650868,1.451975196,1.1151449,1.601193773,1.785768826,1.223432359,0.176568896,2
amsterdam_079,1.298315567,1.122163068,1.193394176,1.17907268,1.346640703,1.032738656,1.737239685,1.656212373,1.193249469,0.35387342,1
amsterdam_080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
amsterdam_081,1.274587618,0.943385149,1.045040386,1.09246983,1.037004981,1.06167692,1.60543512,1.06326916,1.095299404,0.122082623,1
amsterdam_082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
amsterdam_083,0.993683408,1.032887773,1.309702745,0.880219503,0.916037356,0.712860751,0.965056141,1.282523875,1.012753037,-0.00524419,4
amsterdam_084,0.81034791,1.079971261,1.17923914,0.654959954,0.728021372,0.501281503,0.861853253,1.282428358,0.894027991,0.025606898,4
amsterdam_085,1.267607316,0.982677361,1.264273216,0.933371591,0.758081766,0.812370537,0.989085037,0.756035573,1.035115907,-0.380211402,2
amsterdam_086,-0.063038427,0.05982127,-0.063550582,-0.095423316,-0.027596834,0.31628507,0.578577479,-0.268514576,0.239603704,0.320254249,3
amsterdam_087,0.547510908,0.30863273,0.467178048,0.497482047,0.37138392,0.599643794,0.933773642,0.188035811,0.588724354,0.139735994,3
amsterdam_088,1.333337494,0.864948313,1.211804704,1.097821957,0.87512645,0.894929552,1.142100183,0.821170861,0.97636171,-0.316922823,4
amsterdam_089,1.137413038,1.175177304,1.456565735,1.086586813,1.271536939,0.916368677,1.168003042,1.705368752,1.128191707,0.134390916,4
amsterdam_090,1.048832223,0.994286395,0.958081512,0.890193458,1.178470774,0.873142122,1.694290672,1.468622176,1.05264998,0.482274226,3
amsterdam_091,-1.011505371,-1.178693482,-0.955584763,-0.750128201,-0.959631988,-0.670572103,-0.646954805,-1.199873374,-0.787553216,0.254847493,43
amsterdam_092,0.99505877,0.433752356,0.885080306,0.859092762,0.470236957,0.71380843,0.95259232,0.155379527,0.721353668,-0.323366533,1
amsterdam_093,2.154676691,2.790534888,1.794494827,2.194119595,1.902470408,1.580199812,1.580248254,2.0068324,1.996528894,-0.671018597,7
amsterdam_094,1.946847468,2.318706559,1.93388803,1.885203092,1.780773854,1.574271196,1.56632146,2.249211003,1.990369288,-0.180077404,6
amsterdam_095,1.233577226,1.554454525,1.024622991,0.866201332,0.972634639,0.661524234,0.533706121,1.588736051,1.274526834,-0.153311305,6
amsterdam_096,0.610089923,1.394945731,0.649399941,0.486791844,0.639439065,0.267024789,-0.003816644,0.927365749,0.502630753,-0.559796142,3
amsterdam_097,1.487168214,2.227926543,1.459543251,1.740816734,1.533523915,1.12206225,1.036965779,1.654304368,1.515731932,-0.511753514,6
amsterdam_098,0.474352534,1.398952107,0.58496618,0.529497279,0.545568204,0.183748452,-0.002988627,0.675158515,0.372611957,-0.683333588,2
amsterdam_099,0.802208653,1.520812377,0.552908414,0.38831106,0.618551464,0.081631596,-0.205486886,0.879489199,0.080406727,-1.10577455,4
atlanta_001,0.706536966,0.549689178,0.748352782,0.713376985,1.114913801,0.809142713,0.4391366,0.885770978,0.834755446,0.166408781,1
atlanta_002,1.522421927,1.521896865,1.22797121,1.069044305,0.926595131,1.079458527,1.194044137,1.497303001,1.159061735,-0.264110381,1
atlanta_003,2.070577461,2.146204554,1.518736812,1.428637307,1.263945984,1.578512414,1.588654772,1.837607796,1.565191876,-0.442936931,1
atlanta_004,0.389209055,0.152112567,0.231501923,0.057127346,-0.453241915,-0.135713672,-0.160666329,0.293581605,0.12086822,-0.271022291,7
atlanta_005,5.610230844,5.445014391,5.811078483,5.078617865,5.036055561,5.125621809,5.73272288,5.165375233,5.343964301,-0.335615151,3
atlanta_006,2.432741875,2.373982649,1.947950817,2.012052366,1.634467423,2.11539226,1.839801709,2.18710112,2.273837231,-0.218203581,2
atlanta_007,4.685415533,4.015606521,4.492796754,4.239754586,3.832353171,4.156020908,4.491282456,4.067854822,4.23723085,-0.287126017,1
atlanta_008,0.868078286,0.894912102,0.871629099,0.697242248,1.114616595,0.788348404,0.9449982,0.859201564,0.914293584,0.052595656,4
atlanta_009,4.705904176,4.031922989,4.515005961,4.258625231,3.851653139,4.172310049,4.509790349,4.08134631,4.255256411,-0.291844584,1
atlanta_010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
atlanta_011,1.886451625,1.747130071,1.733703402,1.823647149,1.382547247,1.656991855,1.645304683,1.950741079,1.866663109,0.031371038,1
atlanta_012,5.000953059,4.980123603,5.279347761,4.449097614,4.801639139,5.082794084,5.330397915,4.826809055,4.753765269,-0.118816338,1
atlanta_013,5.426892073,5.052337003,4.962177598,5.204285119,5.349337551,5.730558216,5.208103789,5.723276888,5.521722422,0.568377755,2
atlanta_014,1.093465702,0.741521147,1.022273945,0.975927104,0.669782112,0.944168919,0.862037196,0.812745117,0.824446274,-0.202439581,5
atlanta_015,0.031655959,-0.017086071,0.219844879,-0.055978246,0.289964674,-0.105346779,-0.199443138,0.001948718,0.003762443,-0.157069044,9
atlanta_016,0.28133669,0.042139202,0.167595242,-0.008576309,-0.027503459,-0.050210068,-0.099345995,-0.070879901,0.006700522,-0.335519702,2
atlanta_017,-0.332516887,-0.273696067,-0.11986081,-0.372757473,0.002125465,-0.344965296,-0.304573983,-0.288210579,-0.334088681,-0.065244147,6
atlanta_018,-0.661946821,-0.668562015,-0.440472334,-0.215065105,0.189554468,-0.188920925,-0.212856789,-0.215739575,-0.219024651,0.601921878,16
atlanta_019,0.693388542,0.679025068,0.276560597,0.183271977,-0.16258576,0.227164247,0.083681492,0.47870091,0.318270783,-0.407218242,6
atlanta_020,1.942602261,1.71799928,2.209595657,1.878913383,1.94774379,1.953076423,2.215917957,1.78430058,1.830042716,-0.027421107,1
atlanta_021,0.972073794,1.44528412,1.153615179,1.07566861,0.699330249,1.103546174,1.39814355,1.12289494,1.303948598,0.146210997,1
atlanta_022,1.36569716,1.399328499,1.652703771,1.345278731,1.084809817,1.275256384,1.62369838,1.272101473,1.421202839,-0.047948582,2
atlanta_023,1.622676059,1.489882102,1.857407619,1.526626087,1.484224642,1.587853003,1.859074675,1.41362901,1.523808358,-0.093278175,3
atlanta_024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
atlanta_025,1.86147958,2.114445159,2.246007343,2.304793234,2.486944124,2.427816444,2.166954672,2.317145563,2.276794653,0.372379895,4
atlanta_026,1.441233908,1.552293038,1.336309496,1.490418189,1.665387614,1.5569086,1.37536505,1.644951223,1.631126343,0.197024302,6
atlanta_027,1.861638097,1.819282813,1.608140636,1.923794529,1.842215879,1.950789339,1.619781984,1.961728118,1.912118704,0.113255975,4
atlanta_028,0.088956762,-0.06308752,0.026348354,-0.151211104,-0.245292724,-0.177091508,-0.189950242,-0.207076417,-0.131244022,-0.295207904,3
atlanta_029,5.532357728,5.146418354,5.553653346,5.133861583,4.899940357,5.108208452,5.565945924,5.035112072,5.22742736,-0.259118049,1
atlanta_030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
