"nbhd_code","UHI2003","UHI2004","UHI2005","UHI2006","UHI2007","UHI2008","UHI2009","UHI2010","UHI2011","UHI2012","UHI2013"
"barcelona_22",-0.595631030001276,-0.538972369399312,-0.59810459826935,-0.591041242911913,-0.573217660191207,-0.556983972002786,-0.488640755415238,-0.590016346485443,-0.470875965291216,-0.400032173752581,-0.453049692305888
"barcelona_39",0.34726072181892,0.268342097414308,0.311984196354492,0.333532050444618,0.385033256503223,0.385404182514199,0.300848331692036,0.289622179578302,0.323200643547657,0.271782670391132,0.244661553996591
"barcelona_40",0.869376045099552,0.768938516814706,0.907465343662952,0.868408868190248,0.901104126110187,0.818058158650951,0.732826800271475,0.877527344296851,0.718124408219356,0.6346190510017,0.652799291579574
"barcelona_43",2.29449860869634,2.29840196210481,2.25348112574665,2.27994835016723,2.22043507895308,2.22782717219531,2.15390721924794,2.37080289785077,2.07508857897638,2.078261970455,2.04151117674854
"barcelona_28",2.54801386858095,2.3600080250244,2.32602298643696,2.50176434231236,2.51352854949907,2.59591188090877,2.39757292595235,2.47358376245769,2.56599684479566,2.61377092051781,2.38956519648987
"barcelona_41",2.09281583742108,1.91173367371233,1.96400480281472,2.04972726619686,2.12496087166926,2.03650656214917,1.93761931151272,2.03335887376966,1.93984074450414,1.93711452728064,1.75294505018413
"barcelona_38",2.3020111004512,2.10353067460322,2.11207196731616,2.24809460001051,2.34782292836658,2.28145849118707,2.15634530505445,2.21254613891087,2.20672290181137,2.21321694542692,1.98187640595565
"barcelona_29",3.19734876403889,3.04846343535296,2.936744862879,3.16843761928744,3.21817453033751,3.24121991199296,3.07316678684999,3.16256022259662,3.29027587732427,3.33416865076192,3.02999061427446
"barcelona_25",2.95285790187263,2.71366193332725,2.7131806166711,2.93186071067562,2.80452006823824,2.94475081965204,2.67324994705032,2.90004372639845,2.91326918935423,3.06865602461134,2.89945272975131
"barcelona_27",3.8156014177879,3.53128313189619,3.52300485321192,3.7356186220909,3.61353967119959,3.83255906018564,3.51079328614068,3.69069985241708,3.8016214634041,3.86205775871393,3.67837248939156
"barcelona_26",4.32063768941872,4.04869406644229,4.04568271814337,4.2439737165184,4.04959928647501,4.30907687262872,3.93009799360507,4.20051714514835,4.28067047542294,4.30954436413541,4.24108470633915
"barcelona_24",3.98423229288154,3.61162719427429,3.65573765569823,3.90494337502093,3.70184573925156,3.86654590624074,3.50729969321946,3.86459514353537,3.84606683430442,4.00336623498361,3.88609905637259
"barcelona_23",2.57824596288377,2.37337382989349,2.40443026296286,2.59446949163299,2.45130457273754,2.56801896260161,2.24980142667737,2.58601064580643,2.48988545111134,2.66431903933627,2.57174705519175
"barcelona_21",3.63049959027263,3.39662508376137,3.51673930389222,3.65379406556396,3.41436594658812,3.69468321024067,3.15695390432153,3.62943285075098,3.59687280534023,3.49932620845632,3.585583595109
"barcelona_20",4.70744778507838,4.42397220665806,4.49367575785182,4.68876335334083,4.38035303684129,4.76746566164869,4.16972432060844,4.61764195106259,4.70257167447169,4.44391139486534,4.65053697813261
"barcelona_19",4.75065986229712,4.46846324326885,4.44017053670902,4.6110398907763,4.38031172718115,4.60703254949774,4.21440492855227,4.60392338637356,4.63137825268132,4.53020729122928,4.65445583742348
