"nbhd_code","UHI2003","UHI2004","UHI2005","UHI2006","UHI2007","UHI2008","UHI2009","UHI2010","UHI2011","UHI2012","UHI2013"
"lima_001",3.51693228669125,3.86015464104234,3.31248017884398,3.71893564934041,3.65818349620528,3.79096330862756,3.88264901671815,3.27227601438638,3.93201864391459,3.70575159864384,4.11487524073276
"lima_024",-0.181552242901693,0.280228898797107,-0.117272555971969,-0.0887376698937994,-0.536016823289608,-0.102759352572824,-1.0290731981121,0.400534674946958,-0.338081947506327,-0.556773677895872,-1.46825325833673
"lima_027",1.10415927577946,1.1907495912373,1.19479701825435,1.36253354943476,1.19463597210339,1.11168060847316,0.76676054134298,0.99298283526865,0.750883937968897,0.865276330770362,0.939673362424922
"lima_026",0.852137390381924,0.959573841140495,0.952052258821083,0.940745209607105,0.873121655899706,0.411303132382689,0.293350989269311,0.581092569618733,0.203983358040127,-0.179641476755783,-0.0231118167560243
"lima_019",-0.5941095310964,-0.494122736358814,-0.463260037625718,-0.586597768821153,-0.516994963017493,-0.729400092254729,-0.914925021021257,-0.559250822021141,-0.995024966385973,-1.7789824110385,-1.28763558016302
"lima_023",-0.350782951441331,-0.453467423129735,-0.261989629911227,-0.487627590321848,-0.461849724308468,-0.254303983762,-0.480751731523242,-0.44397384562683,-0.356453000915779,-0.67520856335056,-0.249868814040778
"lima_008",-0.453184060644796,-0.855442650354037,-0.380117891347299,-0.718908659535963,-0.564702059026011,-0.720984815601773,-0.64672260551434,-0.342833313999088,-0.312289499011543,-0.249842378369891,-0.115624724459879
"lima_029",2.74092768271748,2.94022504748486,2.5539891186757,3.21968606901094,2.67133710326402,3.40979358392158,2.85708402645689,2.5807256700171,2.30976587837463,2.73626783882127,2.2973269815026
"lima_038",1.04752638308628,1.06093466095279,0.8276833098525,1.12624489854922,0.431034270787368,1.35961570438172,0.234030703043755,0.968159596399517,0.544464790713261,0.0356265789253671,-0.262013165048602
"lima_007",-5.24537643634679,-5.6895619802932,-6.04604113404918,-5.22192922211269,-5.36166766953414,-5.7063156002132,-6.62703081061506,-5.31549808279355,-6.76303996794977,-8.36929344101084,-6.98091506745986
"lima_040",-5.05386965885847,-5.15240413445467,-5.46985347610522,-4.84994942920615,-5.02602937511777,-4.67205583112257,-5.29210459769354,-4.53797299470457,-5.23522900923393,-5.51004648655427,-5.97001291507791
"lima_003",-6.57788947686417,-6.47381393844868,-6.85714769134928,-6.23418990784131,-6.158080394227,-5.32354779166407,-6.07186276885338,-5.8953912140675,-6.0819261136106,-6.63895879622254,-7.59604403945043
"lima_022",-6.58816148957993,-6.81548064368548,-7.07707608169883,-6.64856480704445,-6.35536702248462,-5.94045824203638,-6.48007596332749,-6.27972260223984,-6.06055273632928,-6.60693927632954,-7.67906273395847
"lima_033",-3.45401105923326,-3.49936959469238,-3.64811611015622,-3.17792846669304,-3.36435630863958,-3.5043472935143,-3.89236782159736,-2.91609301039185,-4.11404827768055,-4.37151458583731,-4.40576763250146
"lima_043",-0.988071903899932,-0.892037891903966,-1.01898621040458,-0.908231210309909,-0.83445676642398,-1.0920853445282,-0.911370415686871,-0.802621657359198,-1.48866994671909,-1.88207871239167,-1.77616796587162
"lima_042",-3.40360702446131,-3.88579843309851,-4.14916784408254,-3.25930684073835,-3.60056392381993,-4.34017754877683,-5.51099988832655,-3.55926697138668,-5.40184052347725,-6.0635490288263,-6.42228766996282
"lima_013",-2.45572485863141,-2.65772639904201,-2.52743443990267,-2.53400730318228,-2.50912631159584,-1.71535316667735,-2.07109018017644,-2.25288179331508,-2.06655929440779,-2.34568292816787,-2.44676266202584
"lima_002",-2.17258350074842,-2.41067183700697,-2.07789764038838,-2.26842562217254,-2.10317317290909,-1.75003216256303,-1.92147147029263,-1.84982338842161,-1.54366675045007,-1.61089167503324,-1.88268315309583
"lima_018",-2.51928517522005,-2.97226210501285,-2.30123586692806,-2.89215552902048,-2.8085018041355,-2.78705182123791,-3.00750847064138,-2.40340508458668,-2.64187298224544,-2.48926754292742,-2.5914773655393
"lima_006",-2.25008340055457,-2.68310465976382,-2.02668836941505,-2.39924309669805,-2.40241451357659,-2.41877490620744,-2.76684340857407,-1.98960594603833,-2.245757663792,-2.02097559107665,-2.1684068374141
"lima_010",-2.97772922602349,-3.06116589158599,-3.01075663050984,-2.73930706370895,-2.61369919058482,-1.90763165967785,-1.81101170795905,-2.44152028146603,-2.02205654655862,-2.15256192524273,-2.69946118506248
"lima_037",-3.24517099512061,-3.40370202787153,-3.19905997361204,-3.00116163186395,-2.86367860321756,-1.98277655431027,-2.09765236943859,-2.74763519514923,-2.19531001818652,-2.25407411967421,-2.80902285999716
"lima_032",-1.02312359073893,-1.10318874449335,-1.12624456878819,-1.21848936585215,-0.883879882799298,-0.541024485859863,-0.53594925297174,-0.910198526058073,-0.691047778729579,-0.862514808330893,-0.894805653640102
"lima_015",-3.34145611384529,-3.37478993722329,-3.65826344827592,-3.10555052563092,-3.17130658314429,-3.18103373169533,-2.79703064648655,-3.00672278553443,-2.68237284404516,-3.21149783980571,-3.85871586257553
"lima_034",-3.56696195905461,-3.41323385868355,-3.58987027222966,-3.14451247546997,-3.14574838915357,-2.20438109182965,-2.17696611600795,-2.74428329858759,-2.26620206708993,-2.71062629078671,-3.27332247769788
"lima_014",-3.62242236314031,-3.48790999154913,-3.78204030614865,-3.07724648371356,-3.16623599957491,-2.55569120759906,-2.36977782025574,-2.90948773606754,-2.34714357190058,-3.01362001212506,-3.60180511440623
"lima_030",-5.55776299719812,-5.62924430350496,-5.87728069232257,-5.27606669136229,-5.45594157955983,-4.84658425935571,-5.29029255323311,-4.89607004535081,-5.13924676831154,-5.1081810719192,-6.09387509193274
"lima_031",-6.63030398479675,-6.74135815840698,-6.8581249911351,-6.42503082159878,-6.51405978981335,-6.36303447124096,-6.65873831904554,-6.2063097129584,-6.37397312215061,-6.88222199613547,-7.94139186157355
"lima_041",-6.20147859480842,-6.40059973879924,-6.71511417583134,-6.18961221596293,-6.06067968333097,-5.87277448781258,-6.32397324489521,-5.80388597535152,-5.86966414382231,-6.24982820732646,-7.17366404199698
"lima_020",-6.62626810057853,-6.79576137475902,-7.22613392304773,-6.67447358336123,-7.61758034146605,-7.2807371866806,-7.62977484707498,-6.85632881804603,-7.29779784343426,-8.88541784517171,-8.90917265158365
"lima_012",-5.48018517579419,-5.44344445200934,-5.69828887504157,-5.15629333525443,-5.51813835575205,-5.33541212158046,-5.34502199244767,-5.10212529096797,-5.27387534107807,-5.81074694468421,-6.52933998076433
"lima_016",-5.75740955822293,-5.7272336365625,-5.83774538675506,-5.35981847258574,-5.53225392646204,-5.13021203680845,-5.36163004748182,-5.16033779062083,-5.26004655932984,-5.65361469114323,-6.56381185027173
"lima_028",-2.05543073739461,-1.87135217497924,-2.08988654276237,-1.58548888487305,-1.65848611993966,-0.858566434738244,-0.653799456696154,-1.48576098752597,-0.885958841240628,-1.4566460130594,-1.5889728995108
"lima_004",-3.63095415556835,-3.7159275997649,-4.04526698405351,-3.45516664906667,-3.52538568824527,-3.86518068091947,-3.27973940603625,-3.4649280436558,-3.08908255671085,-3.6543553319651,-4.37330322335226
"lima_021",-5.64517199381426,-5.52381903682066,-5.9108170313919,-5.44870651787895,-5.68767898766784,-5.96615817075153,-5.91709650087444,-5.45239243875108,-5.76684945528039,-6.72303459890411,-7.06255160499501
"lima_036",-6.51535765238918,-6.31200152487487,-6.92034744391179,-6.61410236151402,-7.11633613118889,-6.77299432715297,-7.25075860919646,-6.84452955594911,-7.19768352132584,-9.78325810741705,-8.33117453774704
"lima_035",-2.9793296082831,-2.80291102243477,-3.3524043325543,-2.34578680726393,-2.82321222220706,-2.25697425479052,-2.11261819182755,-2.77676547359688,-2.73647015314759,-2.61568320944893,-3.09442938024611
"lima_017",-2.81452473516861,-2.63478203200507,-3.17954924192405,-2.2660705677713,-2.62134163382766,-1.80000183019888,-1.75200193568361,-2.6056725044287,-2.39007190560015,-2.29496899752766,-2.84242640144825
"lima_009",-1.95963304692238,-1.83018046712981,-2.022831170267,-1.63404414407823,-1.54710411127341,-0.606696248874524,-0.565019480513969,-1.55171681847581,-0.989511007332484,-0.953324310745752,-1.5388376915288
"lima_011",-1.96712867291638,-1.86117146454163,-2.28661867703408,-1.59147369521207,-1.59478460886607,-0.379498915841063,-0.446320142125721,-1.4769438732817,-0.979909356045146,-1.31834258773956,-1.6629046317419
"lima_005",-0.828962178112254,-0.788588946143476,-0.757548907668758,-1.01971020120389,-0.70773196910346,-0.886971477023911,-0.521785843255572,-0.711961011616676,-0.842001064025692,-0.643019386192152,-0.465223913404201
"lima_025",-1.73494604533755,-1.2841547665827,-1.74465545320158,-1.11303273967427,-1.45095172810702,-0.933965695247733,-0.312665656964125,-1.51793665732073,-1.01346996341812,-0.658304809409973,-1.58709004113144
"lima_039",-0.300739359812313,0.516467884649561,-0.553807619694467,0.258730219106764,-0.687695303375966,0.197514313411128,0.48527875274057,-1.23976420363354,-0.298669588036317,-0.119146321406751,-1.08951597353318
