"nbhd_code","UHI2003","UHI2004","UHI2005","UHI2006","UHI2007","UHI2008","UHI2009","UHI2010","UHI2011","UHI2012","UHI2013"
"beijing_005",0.547168853949045,0.603772616355041,0.924286129661367,0.618400854078965,0.500860528999235,0.775231099158952,0.663561562361193,1.09064387378313,0.764566752221754,0.456178692151559,0.659069503655567
"beijing_009",-1.38896569936352,-1.34440974161196,-1.13877328326155,-1.14685683783707,-1.29311806946851,-1.34739411173449,-0.680071477217218,-1.0765203438965,-1.64542579521387,-1.52378652529336,-1.3742475745974
"beijing_003",2.72596732575927,2.79004241170048,3.35179984488022,3.02229154291904,2.9737101309536,3.5566995502184,2.9589353553116,3.30529508207913,3.63520231213139,4.22667748196429,4.05967163662752
"beijing_006",3.16336360869853,3.46243176482856,3.85123620311077,3.5728748075099,3.53270303028123,4.14904203630438,3.71485188379512,4.17844963301065,4.1435669197856,3.85392453931588,3.84358354899373
"beijing_012",1.67821303518135,2.36629841566757,2.2642354846524,2.14139947512033,2.13705061262187,2.45256397888969,2.32477834188257,2.80726182329457,2.36142061269775,2.18241511343991,2.44363857606987
"beijing_007",1.98867511057547,2.72648789617349,2.64084443638096,2.49635769517341,2.26856592520946,2.60895762119846,2.77671087369749,3.12402455045623,2.83248626266722,2.96407871811444,3.0505620798186
"beijing_004",3.10561277114733,3.38439156196181,3.71460616293601,3.51846291468036,3.37354364764057,4.20962488721833,3.7367053762571,4.62285073318541,3.81815773835379,3.72584975471707,4.10888631228751
"beijing_015",3.16395295155189,3.54393781491749,3.92573434073486,3.72709885515059,3.43640025433139,4.31177797077185,3.93975871945018,4.71362482217703,4.1008772955758,3.94539987815535,4.20442569880068
"beijing_002",3.05711780479368,3.04242156064684,3.47267694300322,3.31420897534865,3.41761918158665,4.06014590500985,3.39692659794237,4.21705101710119,3.75555838210366,3.9931173554497,3.9873850956298
"beijing_001",0.838671529219065,1.03680006477428,0.858840430475144,0.956588668612232,0.640239053853451,0.583228428190796,1.05439608268347,1.14715034975205,0.916180306612451,1.06725710810897,1.2216105617608
"beijing_016",-1.85201364154471,-1.74919338158408,-1.76326273276473,-1.69569240722557,-1.57909999579003,-1.75878439706859,-1.42268177267985,-2.01301776463389,-1.68220655916991,-1.75570816707256,-1.97251434664579
"beijing_008",-1.23493614650139,-1.23635855652206,-1.48683973159883,-1.26256895698895,-1.14987223877674,-1.29977910251199,-1.12379270787985,-1.32475132489921,-1.37320207700436,-1.58443595116506,-1.41765879399052
"beijing_013",3.01241542178759,2.71423155662306,2.77105304047717,2.67875212384398,2.9018257548126,2.52007539400209,2.31143168709781,2.37701224461814,2.8949827540525,3.68322204122257,2.98791290805822
"beijing_014",2.1331365381822,2.17335504695041,2.48772883959135,2.16853715538789,2.60195287738313,3.11012488730245,2.15430494312377,2.70975745369184,2.96375948350333,3.4753827536878,3.56751871182392
"beijing_010",-0.0513664298607101,-0.117926097388139,-0.534018813798996,-0.361585505255988,-0.232253501015087,-0.392727346745851,-0.693889285100801,-0.757629778837456,-0.540013780058698,-0.941860904569368,-0.905306633620821
"beijing_011",0.588250870525008,0.336267353194625,0.351128018067022,0.364975047242187,0.0369625126541993,0.115211069297306,-0.27156589164091,0.459903552455136,0.271401379340909,0.137376243477258,0.0653245370635379
