"nbhd_code","system:index","UHI","UHINIGHT","UHIEQ","Buffer_UHI","NDVI","NDBI","Albedo","Impervious_surface","DEM","Count"
"copenhagen_001","0000c5bbddc67fb0bc01",0.0751293866266595,-0.0905028639576342,0.410273951466492,0.294631058075099,0.213062282,-0.06601727,0.106279497383045,69.02777843,7.71952601836825,17
"copenhagen_002","0000c6a67c0f41654f4a",-0.335144564839833,-0.610614553149047,0,-0.2115460548552,0.226660286,-0.087070846,0.101811621802495,68.63588046,7.85921702169381,12
"copenhagen_003","0000f743f1a042ccf54e",0.775860204818032,-0.248886246971602,1.11100476965786,1.4797404156063,0.253542564,-0.052143654,0.122970672631995,70.75743496,14.8544449070145,6
"copenhagen_004","0000d6b4f057eb272f9e",1.32213235779135,-0.0543446797669907,1.65727692263118,1.7786864023792,0.234542379,-0.078379953,0.131918699642935,69.44221466,6.08916280950645,16
"copenhagen_005","0000428ce866c1858e96",1.41959561920855,-0.353777462698284,1.75474018404838,1.7579876143036,0.362066257,-0.142100335,0.139457347450681,50.22438168,9.0849737141196,18
"copenhagen_006","000075a14287a77ec56b",0.905058686146839,-0.197969766709379,1.24020325098667,1.2590814066004,0.369971947,-0.108970911,0.137480005808921,42.49936697,16.1083261881339,11
"copenhagen_007","0000d7091f627a4206c1",0.564796776815167,-0.258313781910385,0.899941341655,0.828373410649,0.443886783,-0.156153228,0.145590861015494,33.61149049,23.2642147657132,17
"copenhagen_008","0000aef7304a069d6c2e",0.486411964918039,-0.192031143681678,0.821556529757872,0.7555387749538,0.373479929,-0.107872333,0.138160241621872,46.99830101,19.1533858745694,11
"copenhagen_009","000013d6110235b42daa",0.0544549100955049,-0.231815363252531,0.389599474935338,0.2412627084331,0.263908418,-0.078853231,0.123793210981207,58.77563863,3.68726357124195,14
"copenhagen_010","0000a21c1f797b098afe",0.64668884506314,0.128015698706977,0.981833409902973,0.9571352749063,0.368991903,-0.120689189,0.149017471822453,46.57970636,2.48757368755271,32
