"nbhd_code","PM25_2013"
"casablanca_025",7.07749353653558
"casablanca_011",7.61397519062251
"casablanca_012",7.7334127843987
"casablanca_031",7.38924008069939
"casablanca_019",7.7359413202934
"casablanca_016",8.93071839693029
"casablanca_002",7.97305389221557
"casablanca_014",9.29371165644172
"casablanca_022",8.90953947368421
"casablanca_005",8.19856887298748
"casablanca_015",7.3988658502644
"casablanca_021",7.19333333333333
"casablanca_026",6.93546195652174
"casablanca_027",7.03614457831325
"casablanca_009",7.90421455938697
"casablanca_010",8.02836879432624
"casablanca_006",7.83970856102004
"casablanca_033",7.02172928927116
"casablanca_008",8.60304761904762
"casablanca_023",7
"casablanca_018",6.81265206812652
"casablanca_032",6.47388059701492
"casablanca_030",7.9604102632634
"casablanca_034",6.4080229226361
"casablanca_001",6.75705375705376
"casablanca_013",7.1706794822992
"casablanca_003",6.87819968458086
"casablanca_029",7.10115935439873
"casablanca_004",7.65406892557197
"casablanca_017",7.21843251088534
"casablanca_028",10.3045171339564
"casablanca_020",8.5
"casablanca_024",11.0891891891892
"casablanca_007",10.3776816297098
"barcelona_22",12.5218390804598
"barcelona_39",11.2347972972973
"barcelona_40",9.88791848617176
"barcelona_43",9.36547085201794
"barcelona_28",9.57553956834533
"barcelona_41",7.01133144475921
"barcelona_38",7.37383177570093
"barcelona_29",7
"barcelona_25",8.19073083778966
"barcelona_27",NA
"barcelona_26",NA
"barcelona_24",7
"barcelona_23",8.70405405405405
"barcelona_21",7.79142300194932
"barcelona_20",NA
"barcelona_19",NA
"barcelona_18",NA
"barcelona_8",NA
"barcelona_9",NA
"barcelona_15",NA
"barcelona_14",NA
"barcelona_16",NA
"barcelona_17",NA
"barcelona_13",NA
"barcelona_11",NA
"barcelona_12",NA
"barcelona_1",NA
"barcelona_2",NA
"barcelona_3",NA
"barcelona_10",NA
"barcelona_7",NA
"barcelona_31",NA
"barcelona_30",NA
"barcelona_37",7
"barcelona_32",NA
"barcelona_34",NA
"barcelona_36",NA
"barcelona_33",NA
"barcelona_6",NA
"barcelona_35",NA
"barcelona_64",NA
"barcelona_63",NA
"barcelona_62",NA
"barcelona_65",NA
"barcelona_5",NA
"barcelona_66",NA
"barcelona_4",NA
"barcelona_67",NA
"barcelona_68",NA
"barcelona_71",NA
"barcelona_61",NA
"barcelona_72",NA
"barcelona_73",NA
"barcelona_69",NA
"barcelona_70",NA
"barcelona_56",NA
"barcelona_57",NA
"barcelona_59",NA
"barcelona_60",NA
"barcelona_44",NA
"barcelona_45",NA
"barcelona_52",NA
"barcelona_53",NA
"barcelona_58",NA
"barcelona_54",NA
"barcelona_50",NA
"barcelona_55",NA
"barcelona_49",NA
"barcelona_48",NA
"barcelona_51",NA
"barcelona_46",NA
"barcelona_47",NA
"barcelona_42",7
"istanbul_032",10.2062270885588
"istanbul_015",9.83700574485268
"istanbul_014",11.6714375962412
"istanbul_002",9.80116952127912
"istanbul_018",12.9910172563234
"istanbul_008",10.6532258064516
"istanbul_012",12.2245545152522
"istanbul_001",10.135593220339
"istanbul_004",13.4536817102138
"istanbul_026",13.982884227157
"istanbul_007",9.60667251975417
"istanbul_006",12.4961678096006
"istanbul_005",15.2809042809043
"istanbul_022",12.135426889107
"istanbul_017",13.2640409749205
"istanbul_019",10.6777199702704
"istanbul_035",10.8462697814619
"istanbul_009",13.0399361022364
"istanbul_021",12.8328008519702
"istanbul_024",10.9381671701913
"istanbul_020",14.7862647019062
"istanbul_013",10.9015513126492
"istanbul_033",10.1671388101983
"istanbul_030",9.92612318529336
"istanbul_010",9.42881725364231
"istanbul_038",10.5174314455009
"istanbul_023",10.0040682675134
"istanbul_039",12.1851851851852
"istanbul_025",13.0040196212018
"istanbul_028",9.93507430385226
"istanbul_027",9.90964533128071
"istanbul_034",9.68809849521204
"istanbul_029",9.84430911834447
"istanbul_003",10.1141331977631
"istanbul_037",10.4321197927755
"istanbul_016",9.72173372413181
"istanbul_011",9.40755364636554
"istanbul_036",9.82823077137365
"istanbul_031",8.57786103755175
"telaviv_045",8
"telaviv_047",8
"telaviv_046",8
"telaviv_049",8
"telaviv_048",8.01970443349754
"telaviv_050",8.51592356687898
"telaviv_051",8.83233532934132
"telaviv_014",7.27777777777778
"telaviv_015",7.58256880733945
"telaviv_007",8
"telaviv_008",8
"telaviv_002",8
"telaviv_001",8
"telaviv_004",8
"telaviv_009",8
"telaviv_003",8
"telaviv_005",8
"telaviv_010",8
"telaviv_011",8
"telaviv_012",8
"telaviv_013",7.61866666666666
"telaviv_016",7.68
"telaviv_018",7
"telaviv_019",7
"telaviv_026",7
"telaviv_027",7.5695067264574
"telaviv_028",7.34532374100719
"telaviv_025",7.11214953271028
"telaviv_017",7
"telaviv_022",7
"telaviv_020",7
"telaviv_021",7.34782608695652
"telaviv_023",7.83233532934132
"telaviv_024",8
"telaviv_070",8
"telaviv_060",7.47368421052632
"telaviv_069",8
"telaviv_059",8
"telaviv_061",8
"telaviv_062",8
"telaviv_058",7.68837209302326
"telaviv_068",8
"telaviv_067",8
"telaviv_063",8
"telaviv_065",8
"telaviv_064",8
"telaviv_066",8.27245508982036
"telaviv_071",8
"telaviv_054",8
"telaviv_056",8.04444444444445
"telaviv_043",8
"telaviv_053",8
"telaviv_037",8
"telaviv_041",8
"telaviv_040",8
"telaviv_031",8
"telaviv_035",8
