"nbhd_code","PM25_2014"
"Johannesburg_39",33.869881710646
"Johannesburg_40",34
"Johannesburg_82",34
"Johannesburg_86",33.998613998614
"Johannesburg_88",34
"Johannesburg_89",33.5100624566273
"Johannesburg_85",33.0045808520385
"Johannesburg_126",33.6944609886837
"Johannesburg_98",34
"Johannesburg_99",34.0080482897384
"Johannesburg_117",34.4603127766303
"Johannesburg_102",34.6569903948773
"Johannesburg_90",34.9816300129366
"Johannesburg_87",34.0512333965844
"Johannesburg_69",34
"Johannesburg_60",34
"Johannesburg_67",34
"Johannesburg_59",34
"Johannesburg_123",34
"Johannesburg_63",34
"Johannesburg_62",34
"Johannesburg_64",34
"Johannesburg_66",34
"Johannesburg_73",34.1066202090592
"Johannesburg_74",34.2053478712357
"Johannesburg_91",34.3251617296561
"Johannesburg_103",34.8102528814726
"Johannesburg_108",34
"Johannesburg_107",34
"Johannesburg_81",33.8138340988922
"Johannesburg_75",34
"Johannesburg_76",34
"Johannesburg_116",34
"Johannesburg_105",33.5741525423729
"Johannesburg_72",33.9809463321689
"Johannesburg_118",33.9711919337415
"Johannesburg_65",33.9544072948328
"Johannesburg_57",33.7498340340783
"Johannesburg_61",34
"Johannesburg_56",34
"Johannesburg_32",33.0490535186466
"Johannesburg_77",31.8206451612903
"Johannesburg_78",32
"Johannesburg_111",32
"Johannesburg_79",32
"Johannesburg_110",32.7991411701557
"Johannesburg_80",32.0160965794769
"Johannesburg_93",34.0487135506003
"Johannesburg_112",32.9966308150836
"Johannesburg_92",32.1592414481444
"Johannesburg_94",33.9892133362388
"Johannesburg_113",33.1580108281532
"Johannesburg_96",33.4894350103716
"Johannesburg_106",34.6976059917079
"Johannesburg_109",33.9494584837545
"Johannesburg_115",34.4309329710145
"Johannesburg_104",34.3810467882633
"Johannesburg_101",34.0166840458811
"Johannesburg_97",33.4752423564504
"Johannesburg_114",34
"Johannesburg_100",34
"Johannesburg_95",33
"Johannesburg_71",32.09478390462
"Johannesburg_83",32.9409701928697
"Johannesburg_127",32.5690883190883
"Johannesburg_84",33.0193295077016
"Johannesburg_41",33.3493013972056
"Johannesburg_43",33.6741154562384
"Johannesburg_42",33.7605633802817
"Johannesburg_38",33.6558044806517
"Johannesburg_45",33
"Johannesburg_36",33.2873711340206
"Johannesburg_47",33
"Johannesburg_44",33
"Johannesburg_49",32.6138888888889
"Johannesburg_129",33
"Johannesburg_48",33
"Johannesburg_46",33
"Johannesburg_34",33
"Johannesburg_51",32.9132007233273
"Johannesburg_52",32.7702479338843
"Johannesburg_128",32
"Johannesburg_53",31.4970943227537
"Johannesburg_50",32.3104508196721
"Johannesburg_130",32.5271629778672
"Johannesburg_20",32.4992846924177
"Johannesburg_14",32.2522903453136
"Johannesburg_13",32.1240269849507
"Johannesburg_10",32.2559774964838
"Johannesburg_9",32.586655817738
"Johannesburg_8",32.1111111111111
"Johannesburg_11",32.8069792802617
"Johannesburg_12",32.8826151560178
"Johannesburg_19",33
"Johannesburg_16",32.764163372859
"Johannesburg_15",33
"Johannesburg_21",33
"Johannesburg_33",33
"Johannesburg_35",33.1182994454714
"Johannesburg_37",33.5825471698113
"Johannesburg_22",33.1873327386262
"Johannesburg_17",33
"Johannesburg_120",32
"Johannesburg_121",32
"Johannesburg_7",32
"Johannesburg_4",32.175
"Johannesburg_5",32.5274248528045
"jakarta_005",22
"jakarta_001",22.6659699790994
"jakarta_021",22
"jakarta_018",22.1827852998066
"jakarta_008",23.68299104792
"jakarta_023",23.6476104598738
"jakarta_006",22.3684137740285
"jakarta_011",23.0817983140805
"jakarta_031",22.8707882534776
"jakarta_007",22.4028446891489
"jakarta_022",23.4611291752882
"jakarta_030",23.6011195377393
"jakarta_004",24.0008674907829
"jakarta_016",24.7785932721713
"jakarta_033",24.7527262813522
"jakarta_020",24.1365618890059
"jakarta_017",24.1844901650463
"jakarta_015",24.7767911818739
"jakarta_040",24.041095890411
"jakarta_037",24
"jakarta_024",24.1289424860853
"jakarta_029",24
"jakarta_012",24
"jakarta_042",23.9966804979253
"jakarta_026",23.5931490384615
"jakarta_009",23.2979824107605
"jakarta_036",23
"jakarta_013",23
"jakarta_002",23
"jakarta_025",23.4771241830065
"jakarta_034",23.2394293125811
"jakarta_019",23
"jakarta_041",22.2456551454794
"jakarta_027",22.6140729548888
"jakarta_035",23
"jakarta_038",23
"jakarta_039",23.607898448519
"jakarta_010",24
"jakarta_032",23.9668002289639
"jakarta_003",24
"jakarta_028",24.144438587243
"jakarta_014",24
"bangkok_017",35.1562855076955
"bangkok_039",34.1134647104783
"bangkok_004",33.8633126791825
"bangkok_024",34.9828247457062
"bangkok_044",34.7751165748198
"bangkok_045",35.1303806734993
"bangkok_029",34.2023212045169
"bangkok_003",34.135716545397
"bangkok_031",34
"bangkok_015",33.3244968090329
"bangkok_001",33.2851723047739
"bangkok_012",34
"bangkok_046",33.9481981981982
"bangkok_037",32.6222426470588
"bangkok_005",32.9835841313269
"bangkok_022",33.8644711842939
"bangkok_050",32.0712545676005
"bangkok_042",32.9958289885297
"bangkok_009",33.116367076632
"bangkok_030",33.5636277302944
"bangkok_040",33.9342465753425
"bangkok_034",34.3874382498236
"bangkok_011",34.8574079802041
"bangkok_035",34.0060975609756
"bangkok_038",33.7100994243851
"bangkok_018",34.4470154258887
"bangkok_032",34.2487684729064
"bangkok_008",35
"bangkok_010",35
"bangkok_014",34.2642101592468
"bangkok_016",33.3443354148082
"bangkok_019",33.0848442584844
"bangkok_026",33.4520229144289
"bangkok_002",31.9669649002065
"bangkok_049",32.672711189739
"bangkok_043",31.3146809179503
"bangkok_048",32.9026522879627
"bangkok_023",32.2680412371134
"bangkok_033",30.879822370247
"bangkok_007",30.0228502705953
"bangkok_047",31.3605896579523
"bangkok_006",31.6221231300345
"hochiminh_001",14.1012256909681
"hochiminh_007",14.9724316930308
"hochiminh_004",13.7190609466463
"bangkok_036",29.785800155576
"bangkok_025",29.6407746956342
"bangkok_041",31.0392475301123
"bangkok_013",32.4786890539232
"bangkok_020",32.3759151352159
"bangkok_021",32.1909486016629
"bangkok_027",30.9336507543903
"bangkok_028",30.0277580856058
"hochiminh_012",15.0312136204889
"hochiminh_024",12.6432637571157
"hochiminh_021",11.2819859107682
"hochiminh_005",10.0436205712826
"hochiminh_014",11.8693981090015
"hochiminh_019",11.6820696387895
"hochiminh_008",11.3625882802061
"hochiminh_002",12.2921452389774
"hochiminh_006",13.4627180371861
"hochiminh_013",12
"hochiminh_009",12.728304947283
"hochiminh_015",12.2724409448819
"hochiminh_022",13.1392127048488
"hochiminh_023",13.4895654308863
"hochiminh_003",13.5675596114218
"hochiminh_018",12.8767643865364
"hochiminh_020",12.2841431713657
"hochiminh_017",12.043204320432
"hochiminh_011",12.9756838905775
"hochiminh_010",12.5974376264329
"hochiminh_016",12
"singapore_034",13.3339359971072
"singapore_032",13.0083572734395
"singapore_009",13
"singapore_010",13.1919054115507
"singapore_008",13.6487893188504
"singapore_014",13.0138814735718
"singapore_012",13
"singapore_033",13.1044676594799
"singapore_015",13
"singapore_019",13.0487684729064
"singapore_038",13
"singapore_031",13.2904365379763
"singapore_027",13
"singapore_055",13
"singapore_043",12.7733032646048
"singapore_048",13.4559877175026
"singapore_013",13.0426829268293
"singapore_023",12.7962681709698
"singapore_037",13.4812362030905
"singapore_017",13
"singapore_002",13.2389261744966
"singapore_021",13.5632563256326
"singapore_007",12.5073529411765
"singapore_036",12.3826500297089
"singapore_018",12.3355263157895
"singapore_030",12
"singapore_022",12.970515970516
"singapore_001",11.599818099136
"singapore_020",NA
"singapore_050",13
"singapore_051",13
"singapore_049",13
"singapore_047",13
"singapore_029",13
"singapore_052",NA
"singapore_045",NA
"singapore_054",NA
"singapore_004",NA
"singapore_046",NA
"singapore_024",NA
"singapore_003",NA
"singapore_011",NA
"singapore_005",NA
"singapore_042",12.5
"singapore_028",13
"singapore_040",NA
"singapore_016",NA
"singapore_044",NA
"singapore_039",NA
"singapore_053",NA
"singapore_025",13
"singapore_035",NA
"singapore_006",11
"singapore_041",11
"singapore_026",11.0373605046094
"manila_014",9.97878099226311
"manila_001",10.6067883445405
"manila_017",12.4988843813387
"manila_009",18.4699374699375
"manila_004",16.9196776709124
"manila_006",14.3547255468428
"manila_015",10.0675853018373
"manila_007",10
"manila_012",10.2929584234559
"manila_005",10.3500866551127
"manila_016",10.7523300438597
"manila_003",10.8528571428571
"manila_013",11
"manila_011",13.7850141581355
"manila_010",11.0496881915108
"manila_002",NA
"manila_008",10
"seoul_005",27.5861709882328
"seoul_008",24.5582595870207
"seoul_009",26.9851050486046
"seoul_010",28.6922909880565
"seoul_014",27.7553064868082
"seoul_025",28.6222568497598
"seoul_013",28.2081923419412
"seoul_012",29.2957320911494
"seoul_023",27.3904580711254
"seoul_011",28.8411426580735
"seoul_007",28.410763237628
"seoul_006",28.325365679629
"seoul_004",24.2274206142634
"seoul_003",23.8220338983051
"seoul_024",26.9636923076923
"seoul_018",27.8714558169104
"seoul_022",25.4402480270575
"seoul_020",25.7650718729886
"seoul_002",23.7220683287165
"seoul_021",23.1582000351556
"seoul_001",24
"seoul_015",24.0995364296335
"seoul_016",24.84179949352
"seoul_019",23.2098851374869
"seoul_017",26.4995405015098
"beijing_005",56.3564113043701
"beijing_009",39.7089974293059
"beijing_003",70.5873051043136
"beijing_006",72.5138788556501
"beijing_012",71.1109126629755
"beijing_007",66.9386987327309
"beijing_004",71.1418495861821
"beijing_015",74.5468982335098
"beijing_002",64.1672846816414
"beijing_001",47.4084214934763
"beijing_016",26.1491942463219
"beijing_008",33.8831379050574
"beijing_013",58.3603789310088
"beijing_014",69.5802683367906
"beijing_010",38.1050728909851
"beijing_011",53.1133808497498
"delhi_001",86.0426627493428
"delhi_009",88.1421976742613
"delhi_005",88.2889977728285
"delhi_008",83.3786417734815
"delhi_006",88.2756571428571
"delhi_004",89.3560908899642
"delhi_003",88.906162695152
"delhi_002",88.3742185174159
"delhi_007",86.0361720067454
"bangalore_184",28
"bangalore_059",28
"bangalore_096",28
"bangalore_077",27.9431958508274
"bangalore_016",28
"bangalore_093",28
"bangalore_153",27.9960918417196
"bangalore_072",27.9531585732703
"bangalore_012",28
"bangalore_040",28
"bangalore_053",28
"bangalore_190",28
"bangalore_001",28
"bangalore_191",28
"bangalore_020",28
"bangalore_028",28
"bangalore_138",28
"bangalore_060",28
"bangalore_044",28
"bangalore_126",28
"bangalore_019",28
"bangalore_171",28
"bangalore_123",28
"bangalore_076",28
"bangalore_003",28
"bangalore_109",28
"bangalore_089",28
"bangalore_045",28
"bangalore_165",28
"bangalore_166",28
"bangalore_183",28
"bangalore_139",28
"bangalore_002",28
"bangalore_047",28
"bangalore_110",28
"bangalore_116",28
"bangalore_176",28
"bangalore_119",28
"bangalore_058",28
"bangalore_081",28
"bangalore_071",28
"bangalore_024",28
"bangalore_018",28
"bangalore_022",28
"bangalore_006",28
"bangalore_025",28
"bangalore_088",28
"bangalore_078",28
"bangalore_143",28
"bangalore_162",28
"bangalore_160",28
"bangalore_147",28
"bangalore_084",28
"bangalore_108",28
"bangalore_056",28
"bangalore_005",28
"bangalore_186",28
"bangalore_197",28
"bangalore_112",28
"bangalore_013",28
"bangalore_100",28
"bangalore_050",28
"bangalore_142",28
"bangalore_195",28
"bangalore_015",28
"bangalore_187",28
"bangalore_178",28
"bangalore_063",28
"bangalore_087",28
"bangalore_192",28
"bangalore_027",28
"bangalore_070",28
"bangalore_170",28
"bangalore_177",28
"bangalore_158",28
"bangalore_041",28
"bangalore_031",28
"bangalore_092",28
"bangalore_030",28
"bangalore_029",28
"bangalore_023",28
"bangalore_035",28
"bangalore_174",28
"bangalore_140",28
"bangalore_049",28
"bangalore_185",28
"bangalore_037",28
"bangalore_054",28
"bangalore_036",28
"bangalore_095",28
"bangalore_122",28
"bangalore_007",28
"bangalore_151",28
"bangalore_086",28
"bangalore_052",28
"bangalore_085",28
"bangalore_039",28
"bangalore_154",28
"bangalore_156",28
"bangalore_146",28
"bangalore_168",28
"bangalore_021",28
"bangalore_061",28
"bangalore_075",28
"bangalore_161",28
"bangalore_091",28
"bangalore_129",28
"bangalore_099",28
"bangalore_094",28
"bangalore_118",28
"bangalore_064",28
"bangalore_097",28
"bangalore_157",28
"bangalore_113",28
"bangalore_132",28
"bangalore_102",28
"bangalore_135",28
"bangalore_193",28
"bangalore_180",28
"bangalore_026",27.8714003944773
"bangalore_107",28
"bangalore_051",28
"bangalore_065",28
"bangalore_124",28
"bangalore_159",28
"bangalore_148",28
"bangalore_130",28
"bangalore_043",28
"bangalore_188",27.9863169897377
"bangalore_196",27.6256809338521
"bangalore_082",27.1194100109838
"bangalore_105",27
"bangalore_034",27
"bangalore_009",27.5636991557943
"bangalore_114",28
"bangalore_083",28
"bangalore_167",28
"bangalore_121",28
"bangalore_011",28
"bangalore_067",28
"bangalore_106",28
"bangalore_042",28
"bangalore_181",28
"bangalore_068",28
"bangalore_090",28
"bangalore_111",28
"bangalore_066",28
"bangalore_149",28
"bangalore_144",28
"bangalore_033",28
"bangalore_179",28
"bangalore_115",28
"bangalore_117",28
"bangalore_136",28
"bangalore_120",28
"bangalore_125",28
"bangalore_069",28
"bangalore_079",28
"bangalore_198",28
"bangalore_133",28
"bangalore_175",28
"bangalore_145",28
"bangalore_173",28
"bangalore_150",28
"bangalore_169",28
"bangalore_017",28
"bangalore_004",28
"bangalore_163",28
"bangalore_164",28
"bangalore_194",28
"bangalore_103",28
"bangalore_098",28
"bangalore_057",28
"bangalore_127",28
"bangalore_131",28
"bangalore_128",28
"bangalore_134",28
"bangalore_008",28
"bangalore_189",28
"bangalore_073",28
"bangalore_062",28
"bangalore_141",28
"bangalore_155",28
"bangalore_046",28
"bangalore_104",28
"bangalore_080",28
"bangalore_010",28
"bangalore_014",28
"bangalore_048",28
"bangalore_172",28
"bangalore_038",28
"bangalore_055",28
"bangalore_101",28
"bangalore_032",28
"bangalore_074",28
"bangalore_152",28
"bangalore_182",28
"bangalore_137",28
"copenhagen_007",13.4027207392197
"copenhagen_006",14.7798617966436
"copenhagen_005",15.0746340292777
"copenhagen_008",12.3835125448029
"copenhagen_003",12.0494137353434
"copenhagen_002",NA
"copenhagen_001",12
"copenhagen_009",17.9805707346691
"copenhagen_004",16
"copenhagen_010",14.9813664596273
"berlin_012",17.8122089867741
"berlin_004",16.8331141199226
"berlin_011",16.7560173082124
"berlin_006",17.1353235419327
"berlin_010",16.3761292280399
"berlin_003",16.5351014040562
"berlin_007",16.3693116059442
"berlin_002",16.9671803317257
"berlin_005",17.0075006048875
"berlin_001",15.7966045272969
"berlin_008",16.1676885592653
"berlin_009",16.1841043396767
"amsterdam_041",14.7707100591716
"amsterdam_039",14.058568329718
"amsterdam_045",14.1913580246914
"amsterdam_046",12.6946428571429
"amsterdam_044",11.9006622516556
"amsterdam_061",13.8778035576179
"amsterdam_047",14.0264317180617
"amsterdam_051",11.6157760814249
"amsterdam_055",12.7461024498886
"amsterdam_052",11.7985611510791
"amsterdam_053",13.2724137931034
"amsterdam_021",12.5333333333333
"amsterdam_054",13.9581151832461
"amsterdam_022",13.0909090909091
"amsterdam_019",12.6551724137931
"amsterdam_020",13
"amsterdam_018",12.6666666666667
"amsterdam_031",12
"amsterdam_030",11.1958041958042
"amsterdam_029",11.2011173184358
"amsterdam_043",11.0367534456355
"amsterdam_042",11.3605150214592
"amsterdam_038",13.2706586826347
"amsterdam_034",11.019801980198
"amsterdam_026",11.4150326797386
"amsterdam_033",11.0398009950249
"amsterdam_032",10.0537735849057
"amsterdam_024",11.6143187066975
"amsterdam_023",11.3981132075472
"amsterdam_025",11.0245398773006
