"nbhd_code","PM25_1999"
"casablanca_025",6.19022996326031
"casablanca_011",6.64117446227381
"casablanca_012",6.57763813651138
"casablanca_031",6.45299260255548
"casablanca_019",6.77231051344743
"casablanca_016",7.64144105734385
"casablanca_002",7
"casablanca_014",8.03118609406953
"casablanca_022",7.22368421052632
"casablanca_005",7
"casablanca_015",6.61191900918453
"casablanca_021",6.48095238095238
"casablanca_026",6
"casablanca_027",6.20933734939759
"casablanca_009",6.95402298850575
"casablanca_010",7
"casablanca_006",7
"casablanca_033",6.11000452693527
"casablanca_008",7.41828571428571
"casablanca_023",6.01521739130435
"casablanca_018",6
"casablanca_032",6
"casablanca_030",6.93324869704664
"casablanca_034",6
"casablanca_001",6
"casablanca_013",6.40711838599162
"casablanca_003",6.22758704355211
"casablanca_029",6.10115935439873
"casablanca_004",6.73124818997973
"casablanca_017",6.28737300435414
"casablanca_028",8.56931464174455
"casablanca_020",7
"casablanca_024",9.08918918918919
"casablanca_007",8.77248963403642
"barcelona_22",17.807662835249
"barcelona_39",15.9864864864865
"barcelona_40",14.4133915574964
"barcelona_43",14.3654708520179
"barcelona_28",13.8057553956835
"barcelona_41",11.0226628895184
"barcelona_38",11.3738317757009
"barcelona_29",11
"barcelona_25",13.1907308377897
"barcelona_27",NA
"barcelona_26",NA
"barcelona_24",12
"barcelona_23",13.7094594594595
"barcelona_21",12.7914230019493
"barcelona_20",NA
"barcelona_19",NA
"barcelona_18",NA
"barcelona_8",NA
"barcelona_9",NA
"barcelona_15",NA
"barcelona_14",NA
"barcelona_16",NA
"barcelona_17",NA
"barcelona_13",NA
"barcelona_11",NA
"barcelona_12",NA
"barcelona_1",NA
"barcelona_2",NA
"barcelona_3",NA
"barcelona_10",NA
"barcelona_7",NA
"barcelona_31",NA
"barcelona_30",NA
"barcelona_37",11
"barcelona_32",NA
"barcelona_34",NA
"barcelona_36",NA
"barcelona_33",NA
"barcelona_6",NA
"barcelona_35",NA
"barcelona_64",NA
"barcelona_63",NA
"barcelona_62",NA
"barcelona_65",NA
"barcelona_5",NA
"barcelona_66",NA
"barcelona_4",NA
"barcelona_67",NA
"barcelona_68",NA
"barcelona_71",NA
"barcelona_61",NA
"barcelona_72",NA
"barcelona_73",NA
"barcelona_69",NA
"barcelona_70",NA
"barcelona_56",NA
"barcelona_57",NA
"barcelona_59",NA
"barcelona_60",NA
"barcelona_44",NA
"barcelona_45",NA
"barcelona_52",NA
"barcelona_53",NA
"barcelona_58",NA
"barcelona_54",NA
"barcelona_50",NA
"barcelona_55",NA
"barcelona_49",NA
"barcelona_48",NA
"barcelona_51",NA
"barcelona_46",NA
"barcelona_47",NA
"barcelona_42",11
"istanbul_032",9.81721975689755
"istanbul_015",9.84585353731865
"istanbul_014",11.5397796817625
"istanbul_002",9.8980405181003
"istanbul_018",13.1184303837365
"istanbul_008",10.7490783410138
"istanbul_012",12.3876472364844
"istanbul_001",10.3932203389831
"istanbul_004",13.7851606450806
"istanbul_026",14.1639603265163
"istanbul_007",10.4073748902546
"istanbul_006",12.9140782573618
"istanbul_005",15.3447170113837
"istanbul_022",12.135426889107
"istanbul_017",13.3055457435535
"istanbul_019",10.8777371219484
"istanbul_035",10.9215335342879
"istanbul_009",13.4313099041534
"istanbul_021",13.3269435569755
"istanbul_024",11.0984894259819
"istanbul_020",15.0263620386643
"istanbul_013",10.984785202864
"istanbul_033",10.2742014261991
"istanbul_030",10.2071557426338
"istanbul_010",9.22737180222553
"istanbul_038",10.2772495521565
"istanbul_023",9.95266918039293
"istanbul_039",12.1996779388084
"istanbul_025",13.0717400190762
"istanbul_028",10.3575722598952
"istanbul_027",9.79880395523714
"istanbul_034",9.78214774281806
"istanbul_029",9.80787885320112
"istanbul_003",10.0059735638027
"istanbul_037",10.2173018238592
"istanbul_016",9.75206501465495
"istanbul_011",9.747269318148
"istanbul_036",10.2449508315458
"istanbul_031",8.93833368314347
"telaviv_045",6
"telaviv_047",6.29931972789116
"telaviv_046",6.14070351758794
"telaviv_049",7
"telaviv_048",6.51231527093596
"telaviv_050",7
"telaviv_051",7
"telaviv_014",6
"telaviv_015",6
"telaviv_007",6
"telaviv_008",6
"telaviv_002",6
"telaviv_001",6
"telaviv_004",6
"telaviv_009",6
"telaviv_003",6
"telaviv_005",6
"telaviv_010",6
"telaviv_011",6
"telaviv_012",6
"telaviv_013",6
"telaviv_016",6
"telaviv_018",6
"telaviv_019",6
"telaviv_026",6
"telaviv_027",6
"telaviv_028",6
"telaviv_025",6
"telaviv_017",6
"telaviv_022",6
"telaviv_020",6
"telaviv_021",6
"telaviv_023",6
"telaviv_024",6
"telaviv_070",6
"telaviv_060",6
"telaviv_069",6
"telaviv_059",6
"telaviv_061",6
"telaviv_062",6
"telaviv_058",6
"telaviv_068",6
"telaviv_067",6
"telaviv_063",6
"telaviv_065",6
"telaviv_064",6
"telaviv_066",6.41616766467066
"telaviv_071",6
"telaviv_054",6.04724409448819
"telaviv_056",6.63333333333334
"telaviv_043",6.19672131147541
"telaviv_053",6
"telaviv_037",6.05351170568562
"telaviv_041",6
"telaviv_040",6
"telaviv_031",6.11678832116788
"telaviv_035",6
"telaviv_030",6.05947955390334
"telaviv_034",6
"telaviv_036",6
"telaviv_057",6
"telaviv_032",6
"telaviv_006",6
"telaviv_033",6
"telaviv_029",6
