"nbhd_code","PM25_2002"
"casablanca_025",6.04279493808682
"casablanca_011",6.46267212928189
"casablanca_012",6.49323943661972
"casablanca_031",6.11230665770007
"casablanca_019",6.35238386308068
"casablanca_016",7.58537625239821
"casablanca_002",6.62847033206315
"casablanca_014",7.83563394683027
"casablanca_022",7.22368421052632
"casablanca_005",6.77996422182469
"casablanca_015",6.39089897021987
"casablanca_021",6.34857142857143
"casablanca_026",5.93546195652174
"casablanca_027",6
"casablanca_009",6.30172413793104
"casablanca_010",6.90354609929078
"casablanca_006",6
"casablanca_033",6
"casablanca_008",7.03619047619048
"casablanca_023",5.95489130434783
"casablanca_018",5.7448499594485
"casablanca_032",5.31281094527363
"casablanca_030",6.84554991313644
"casablanca_034",5.48538681948424
"casablanca_001",5.75705375705376
"casablanca_013",6.33493528740007
"casablanca_003",6.02802377775082
"casablanca_029",6.05705842236872
"casablanca_004",6.44931943237764
"casablanca_017",6.06313497822932
"casablanca_028",8.56931464174455
"casablanca_020",7
"casablanca_024",9.23963963963964
"casablanca_007",8.77248963403642
"barcelona_22",17.7851851851852
"barcelona_39",16.2347972972973
"barcelona_40",14.8879184861718
"barcelona_43",14.3654708520179
"barcelona_28",14.5755395683453
"barcelona_41",12.0113314447592
"barcelona_38",12.3738317757009
"barcelona_29",12
"barcelona_25",13.1907308377897
"barcelona_27",NA
"barcelona_26",NA
"barcelona_24",12
"barcelona_23",13.7094594594595
"barcelona_21",12.7914230019493
"barcelona_20",NA
"barcelona_19",NA
"barcelona_18",NA
"barcelona_8",NA
"barcelona_9",NA
"barcelona_15",NA
"barcelona_14",NA
"barcelona_16",NA
"barcelona_17",NA
"barcelona_13",NA
"barcelona_11",NA
"barcelona_12",NA
"barcelona_1",NA
"barcelona_2",NA
"barcelona_3",NA
"barcelona_10",NA
"barcelona_7",NA
"barcelona_31",NA
"barcelona_30",NA
"barcelona_37",12
"barcelona_32",NA
"barcelona_34",NA
"barcelona_36",NA
"barcelona_33",NA
"barcelona_6",NA
"barcelona_35",NA
"barcelona_64",NA
"barcelona_63",NA
"barcelona_62",NA
"barcelona_65",NA
"barcelona_5",NA
"barcelona_66",NA
"barcelona_4",NA
"barcelona_67",NA
"barcelona_68",NA
"barcelona_71",NA
"barcelona_61",NA
"barcelona_72",NA
"barcelona_73",NA
"barcelona_69",NA
"barcelona_70",NA
"barcelona_56",NA
"barcelona_57",NA
"barcelona_59",NA
"barcelona_60",NA
"barcelona_44",NA
"barcelona_45",NA
"barcelona_52",NA
"barcelona_53",NA
"barcelona_58",NA
"barcelona_54",NA
"barcelona_50",NA
"barcelona_55",NA
"barcelona_49",NA
"barcelona_48",NA
"barcelona_51",NA
"barcelona_46",NA
"barcelona_47",NA
"barcelona_42",12
"istanbul_032",10.8078815357901
"istanbul_015",10.4520352211458
"istanbul_014",12.3413353338335
"istanbul_002",10.3232077620155
"istanbul_018",13.943582066031
"istanbul_008",11.3045424621461
"istanbul_012",13.0694654183026
"istanbul_001",10.135593220339
"istanbul_004",14.5756969621203
"istanbul_026",14.9797243921706
"istanbul_007",10.5820895522388
"istanbul_006",13.3033481242436
"istanbul_005",16.0925124258458
"istanbul_022",12.5613346418057
"istanbul_017",13.8913811374073
"istanbul_019",11.1015808129895
"istanbul_035",11.5236435568953
"istanbul_009",13.7476038338658
"istanbul_021",13.670216542421
"istanbul_024",11.4858006042296
"istanbul_020",15.3483844801947
"istanbul_013",11.1452863961814
"istanbul_033",10.5981244505226
"istanbul_030",10.1936689287862
"istanbul_010",9.44613972697029
"istanbul_038",10.5196362133113
"istanbul_023",10.0264933518555
"istanbul_039",12.4802737520129
"istanbul_025",13.202479901894
"istanbul_028",10.0547780503054
"istanbul_027",10.0936112262419
"istanbul_034",9.37699498404013
"istanbul_029",9.67584608751886
"istanbul_003",10.1784443314692
"istanbul_037",10.3920232772692
"istanbul_016",9.53776978417267
"istanbul_011",9.6273673349934
"istanbul_036",9.84001448589019
"istanbul_031",8.752946220041
"telaviv_045",6
"telaviv_047",6
"telaviv_046",6
"telaviv_049",6
"telaviv_048",6
"telaviv_050",6
"telaviv_051",6
"telaviv_014",6
"telaviv_015",6
"telaviv_007",6
"telaviv_008",6
"telaviv_002",6
"telaviv_001",6
"telaviv_004",6
"telaviv_009",6
"telaviv_003",6
"telaviv_005",6
"telaviv_010",6
"telaviv_011",6
"telaviv_012",6
"telaviv_013",6
"telaviv_016",6
"telaviv_018",6
"telaviv_019",6
"telaviv_026",6
"telaviv_027",6
"telaviv_028",6
"telaviv_025",6
"telaviv_017",6
"telaviv_022",6
"telaviv_020",6
"telaviv_021",6
"telaviv_023",6
"telaviv_024",6
"telaviv_070",6
"telaviv_060",6
"telaviv_069",6
"telaviv_059",6
"telaviv_061",6
"telaviv_062",6
"telaviv_058",6
"telaviv_068",6
"telaviv_067",6
"telaviv_063",6
"telaviv_065",6
"telaviv_064",6
"telaviv_066",6
"telaviv_071",6
"telaviv_054",6
"telaviv_056",6
"telaviv_043",6
"telaviv_053",6
"telaviv_037",6
"telaviv_041",6
"telaviv_040",6
"telaviv_031",6
"telaviv_035",6
"telaviv_030",6
"telaviv_034",6
"telaviv_036",6
"telaviv_057",6
"telaviv_032",6
"telaviv_006",6
"telaviv_033",6
"telaviv_029",6
"telaviv_038",6
"telaviv_039",6
"telaviv_042",6
"telaviv_052",6
"telaviv_055",6
"telaviv_044",6
"Johannesburg_1",32.965844402277
"Johannesburg_2",32.3708726415094
"Johannesburg_3",32.4441687344913
"Johannesburg_6",32.096079018258
"Johannesburg_23",33.5030031021055
"Johannesburg_125",33.325465717351
"Johannesburg_122",32.6124116607774
"Johannesburg_119",32.8932950191571
"Johannesburg_24",33.1964179104478
"Johannesburg_18",33
"Johannesburg_54",33.7550630492931
"Johannesburg_55",33.5661691542289
"Johannesburg_124",33.2410996835443
"Johannesburg_68",33.9872178949471
"Johannesburg_58",33.9399733214762
"Johannesburg_29",34
"Johannesburg_27",34
"Johannesburg_26",34
"Johannesburg_28",34
"Johannesburg_25",33.4014308426073
"Johannesburg_30",34
"Johannesburg_31",34
"Johannesburg_70",33.9062370921107
"Johannesburg_39",33.9781619654231
"Johannesburg_40",34
"Johannesburg_82",34
"Johannesburg_86",34
"Johannesburg_88",34
"Johannesburg_89",34
"Johannesburg_85",33.9990838295923
"Johannesburg_126",34
"Johannesburg_98",34
"Johannesburg_99",34.0382293762575
"Johannesburg_117",34.0035408675125
"Johannesburg_102",34.4665955176094
"Johannesburg_90",34.2111254851229
"Johannesburg_87",34
"Johannesburg_69",34
"Johannesburg_60",34
"Johannesburg_67",33.9847328244275
"Johannesburg_59",34
"Johannesburg_123",33.8541666666667
"Johannesburg_63",34
"Johannesburg_62",34
"Johannesburg_64",34
"Johannesburg_66",33.120082815735
"Johannesburg_73",33.8655052264808
"Johannesburg_74",33.9927310488058
"Johannesburg_91",34.0027238678924
"Johannesburg_103",34.6979184586272
"Johannesburg_108",34
"Johannesburg_107",34
"Johannesburg_81",33.0748446365847
"Johannesburg_75",34
"Johannesburg_76",33.6387096774193
"Johannesburg_116",33.8967741935484
"Johannesburg_105",33.0677966101695
