"nbhd_code","PM25_2009"
"casablanca_025",5.838685535447
"casablanca_011",5.88158643450552
"casablanca_012",5.79137594799567
"casablanca_031",5.58910558170814
"casablanca_019",6.0229217603912
"casablanca_016",7.20805798337242
"casablanca_002",6.01850843767011
"casablanca_014",7.51201431492842
"casablanca_022",6.94243421052632
"casablanca_005",6.20572450805009
"casablanca_015",5.74606874478152
"casablanca_021",6
"casablanca_026",5.04347826086957
"casablanca_027",5.84487951807229
"casablanca_009",6
"casablanca_010",6.24822695035461
"casablanca_006",6
"casablanca_033",5.59665006790403
"casablanca_008",6.72419047619048
"casablanca_023",5.24891304347826
"casablanca_018",5
"casablanca_032",5.00497512437811
"casablanca_030",5.95880662835761
"casablanca_034",5
"casablanca_001",5
"casablanca_013",5.3949847735059
"casablanca_003",5.24008249423754
"casablanca_029",5.27051602636963
"casablanca_004",5.74283231972198
"casablanca_017",5.76705370101597
"casablanca_028",8.21884735202492
"casablanca_020",6.5
"casablanca_024",8.86396396396396
"casablanca_007",8.24481701820804
"barcelona_22",13.807662835249
"barcelona_39",12.2347972972973
"barcelona_40",10.8879184861718
"barcelona_43",10.3654708520179
"barcelona_28",10.5755395683453
"barcelona_41",8.01133144475921
"barcelona_38",8.37383177570093
"barcelona_29",8
"barcelona_25",9.19073083778966
"barcelona_27",NA
"barcelona_26",NA
"barcelona_24",8
"barcelona_23",9.70945945945946
"barcelona_21",8.79142300194932
"barcelona_20",NA
"barcelona_19",NA
"barcelona_18",NA
"barcelona_8",NA
"barcelona_9",NA
"barcelona_15",NA
"barcelona_14",NA
"barcelona_16",NA
"barcelona_17",NA
"barcelona_13",NA
"barcelona_11",NA
"barcelona_12",NA
"barcelona_1",NA
"barcelona_2",NA
"barcelona_3",NA
"barcelona_10",NA
"barcelona_7",NA
"barcelona_31",NA
"barcelona_30",NA
"barcelona_37",8
"barcelona_32",NA
"barcelona_34",NA
"barcelona_36",NA
"barcelona_33",NA
"barcelona_6",NA
"barcelona_35",NA
"barcelona_64",NA
"barcelona_63",NA
"barcelona_62",NA
"barcelona_65",NA
"barcelona_5",NA
"barcelona_66",NA
"barcelona_4",NA
"barcelona_67",NA
