"nbhd_code","PM25_2012"
"casablanca_025",4.98652877942577
"casablanca_011",5.08626379879367
"casablanca_012",4.90868905742145
"casablanca_031",4.8462676529926
"casablanca_019",5.08863080684597
"casablanca_016",6.33105947559156
"casablanca_002",5.18835057158411
"casablanca_014",6.6950408997955
"casablanca_022",6.22368421052632
"casablanca_005",5.58139534883721
"casablanca_015",4.95432090175341
"casablanca_021",5
"casablanca_026",4.93546195652174
"casablanca_027",5
"casablanca_009",5.06130268199234
"casablanca_010",5.35035460992908
"casablanca_006",5
"casablanca_033",5
"casablanca_008",5.92114285714286
"casablanca_023",4.95489130434783
"casablanca_018",4.65385239253852
"casablanca_032",4.13588308457711
"casablanca_030",5.48827341975144
"casablanca_034",4.4080229226361
"casablanca_001",4.3961983961984
"casablanca_013",4.84863913208983
"casablanca_003",4.78260342108456
"casablanca_029",4.88247328938395
"casablanca_004",5.2174920359108
"casablanca_017",5.06313497822932
"casablanca_028",7.42990654205607
"casablanca_020",6
"casablanca_024",8
"casablanca_007",7.54209482603209
"barcelona_22",15.6684546615581
"barcelona_39",13.9797297297297
"barcelona_40",12.3493449781659
"barcelona_43",11.9013452914798
"barcelona_28",11.8057553956835
"barcelona_41",9.01133144475921
"barcelona_38",9.37383177570094
"barcelona_29",9
"barcelona_25",10.204991087344
"barcelona_27",NA
"barcelona_26",NA
"barcelona_24",9
"barcelona_23",10.8864864864865
"barcelona_21",9.79142300194932
"barcelona_20",NA
"barcelona_19",NA
"barcelona_18",NA
"barcelona_8",NA
"barcelona_9",NA
"barcelona_15",NA
"barcelona_14",NA
"barcelona_16",NA
"barcelona_17",NA
"barcelona_13",NA
"barcelona_11",NA
"barcelona_12",NA
"barcelona_1",NA
"barcelona_2",NA
"barcelona_3",NA
"barcelona_10",NA
"barcelona_7",NA
"barcelona_31",NA
"barcelona_30",NA
"barcelona_37",9
"barcelona_32",NA
"barcelona_34",NA
"barcelona_36",NA
"barcelona_33",NA
"barcelona_6",NA
"barcelona_35",NA
"barcelona_64",NA
"barcelona_63",NA
"barcelona_62",NA
"barcelona_65",NA
"barcelona_5",NA
"barcelona_66",NA
"barcelona_4",NA
"barcelona_67",NA
"barcelona_68",NA
"barcelona_71",NA
"barcelona_61",NA
"barcelona_72",NA
"barcelona_73",NA
"barcelona_69",NA
"barcelona_70",NA
"barcelona_56",NA
"barcelona_57",NA
"barcelona_59",NA
"barcelona_60",NA
"barcelona_44",NA
"barcelona_45",NA
"barcelona_52",NA
"barcelona_53",NA
"barcelona_58",NA
"barcelona_54",NA
"barcelona_50",NA
"barcelona_55",NA
"barcelona_49",NA
"barcelona_48",NA
"barcelona_51",NA
"barcelona_46",NA
"barcelona_47",NA
"barcelona_42",9
"istanbul_032",8.58986590777542
"istanbul_015",8.4217611226822
"istanbul_014",10.1963122359537
"istanbul_002",8.44525430564122
"istanbul_018",11.7309116696872
"istanbul_008",9.42149440421329
"istanbul_012",10.9409543944428
"istanbul_001",8.61016949152542
"istanbul_004",12.3732966620828
"istanbul_026",12.842973755815
"istanbul_007",8.74275680421422
"istanbul_006",11.1262605889472
"istanbul_005",13.4296937630271
"istanbul_022",10.6349362119725
"istanbul_017",11.5051218650653
"istanbul_019",9.25177234006061
"istanbul_035",9.4076865109269
"istanbul_009",11.6046325878594
"istanbul_021",11.4866879659212
"istanbul_024",9.59738167170191
"istanbul_020",13.1711504664053
"istanbul_013",9.33054892601432
"istanbul_033",8.80775617856794
"istanbul_030",8.31185035649859
"istanbul_010",8.02925318343467
"istanbul_038",8.65219787791098
"istanbul_023",8.38331018059139
"istanbul_039",10.5861513687601
"istanbul_025",11.3264749965935
"istanbul_028",8.41714358999023
"istanbul_027",8.29297175676476
"istanbul_034",7.89922480620155
"istanbul_029",7.93306747143781
"istanbul_003",8.38967971530249
"istanbul_037",8.73543396494216
"istanbul_016",7.80302424726886
"istanbul_011",7.66383595075348
"istanbul_036",8.42438086748196
"istanbul_031",7.0310408116786
"telaviv_045",7
"telaviv_047",7
"telaviv_046",7
"telaviv_049",7.03603603603604
"telaviv_048",7.01970443349754
"telaviv_050",7.51592356687898
"telaviv_051",7.83233532934132
"telaviv_014",7
"telaviv_015",7
"telaviv_007",7
"telaviv_008",7
"telaviv_002",7
"telaviv_001",7
"telaviv_004",7.82222222222222
"telaviv_009",7.36725663716814
"telaviv_003",7.33937823834197
"telaviv_005",7
"telaviv_010",7.06201550387597
"telaviv_011",7
"telaviv_012",7
"telaviv_013",7
"telaviv_016",7
"telaviv_018",7
"telaviv_019",7
"telaviv_026",7
"telaviv_027",7
"telaviv_028",7
"telaviv_025",7
"telaviv_017",7
"telaviv_022",7
"telaviv_020",7
"telaviv_021",7
"telaviv_023",7
"telaviv_024",7
"telaviv_070",7
"telaviv_060",7
"telaviv_069",7
"telaviv_059",7
"telaviv_061",7
"telaviv_062",7
"telaviv_058",7
"telaviv_068",7
"telaviv_067",7.75
"telaviv_063",7.0573476702509
"telaviv_065",7.5
"telaviv_064",7.17777777777778
"telaviv_066",7.7125748502994
"telaviv_071",7
"telaviv_054",7
"telaviv_056",7.04444444444445
"telaviv_043",7
"telaviv_053",7
"telaviv_037",7.05351170568562
"telaviv_041",7
"telaviv_040",7
"telaviv_031",7.11678832116788
"telaviv_035",7
"telaviv_030",7.05947955390335
"telaviv_034",7
"telaviv_036",7
"telaviv_057",7
"telaviv_032",7
"telaviv_006",7
"telaviv_033",7
"telaviv_029",7
"telaviv_038",7
"telaviv_039",7
"telaviv_042",7
"telaviv_052",7
"telaviv_055",7
"telaviv_044",7
"Johannesburg_1",33
"Johannesburg_2",33
"Johannesburg_3",33
"Johannesburg_6",32.8274967574578
"Johannesburg_23",33.9602666490661
"Johannesburg_125",33.8591631717546
"Johannesburg_122",33.0728798586572
"Johannesburg_119",33
"Johannesburg_24",33.1023880597015
"Johannesburg_18",33
"Johannesburg_54",33.7317539166985
"Johannesburg_55",33.0019900497512
"Johannesburg_124",33
"Johannesburg_68",33.6405032953865
"Johannesburg_58",33
"Johannesburg_29",34
"Johannesburg_27",34
"Johannesburg_26",33.660687593423
"Johannesburg_28",33.9112627986348
"Johannesburg_25",33.389507154213
"Johannesburg_30",33.3820754716981
"Johannesburg_31",33.7752212389381
"Johannesburg_70",33.5092936802974
"Johannesburg_39",33.3730664240218
"Johannesburg_40",33.50395256917
"Johannesburg_82",33.0701270016565
"Johannesburg_86",33
"Johannesburg_88",33
"Johannesburg_89",33
"Johannesburg_85",33
"Johannesburg_126",33.1256700416915
"Johannesburg_98",33
"Johannesburg_99",33
"Johannesburg_117",33
"Johannesburg_102",33
"Johannesburg_90",33
"Johannesburg_87",33
"Johannesburg_69",33
"Johannesburg_60",33
"Johannesburg_67",33
"Johannesburg_59",33
"Johannesburg_123",33
"Johannesburg_63",33
"Johannesburg_62",33
"Johannesburg_64",33
"Johannesburg_66",33
"Johannesburg_73",33
"Johannesburg_74",33
"Johannesburg_91",33
"Johannesburg_103",33
"Johannesburg_108",33
"Johannesburg_107",33
"Johannesburg_81",33
"Johannesburg_75",33
