"nbhd_code","system:index","UHI","UHINIGHT","UHIEQ","Buffer_UHI","NDVI","NDBI","Albedo","Impervious_surface","DEM","Count"
"saopaulo_001","0000a40d67377233b435",9.00409861643966,2.12073623864663,9.67617990362583,8.801448349487,0.132721606,0.024866519,0.123278780992374,83.53458913,774.98658563872,7
"saopaulo_002","00006537b786db6789da",7.64479419443954,2.34024832264301,8.31687548162571,7.3206698145487,0.215742929,-0.103707116,0.119992704763603,41.26853797,748.340749658563,9
"saopaulo_003","0000c106163b4ce11f10",2.42003019221881,0.621565171628686,3.09211147940498,2.2350556089727,0.531972902,-0.240628689,0.11549132717817,22.02257554,804.78436560454,35
"saopaulo_004","000087dcfb08f70a10de",9.06171048565406,1.97474800367408,9.73379177284023,9.1203239651106,0.128751104,0.023260748,0.12415160490341,84.96104804,771.274088407795,7
"saopaulo_005","0000f57a462f0646ea27",9.41165273595293,2.07026628085608,10.0837340231391,9.4912348958227,0.132411565,0.01474195,0.121910909162928,80.9618224,798.690995671784,8
"saopaulo_006","000000ffb308974d5c18",9.16268461163083,2.48156022612196,9.834765898817,9.3651266205469,0.152278347,-0.067241007,0.115121352359724,75.31106159,733.105038358081,7
"saopaulo_007","0000f4a975953b60599b",7.24511240291924,3.04255727504719,7.91719369010541,6.9699756088729,0.168138671,-0.030310541,0.0968109673190659,72.77072141,806.87857441984,3
"saopaulo_008","00004d0071d2d83f2511",9.37843080528719,2.2328291021446,10.0505120924734,9.3254710093854,0.134214774,0.011663118,0.117824584893182,82.96673227,741.790470393613,7
"saopaulo_009","00009cb66214db2f4bc6",8.95649396598833,2.57138010091259,9.6285752531745,9.0454614362913,0.135254864,-0.008930663,0.112431616218011,82.65099326,734.076675392064,5
"saopaulo_010","0000e269c0207db0c5e2",9.47348016231572,2.62613528339413,10.1455614495019,9.6566713389941,0.097976176,0.035543545,0.113055498408252,91.5507155,737.571115445376,3
"saopaulo_011","00000de913a1c32bacf0",4.50709822912492,1.60585329695209,5.17917951631109,3.8491342546212,0.369800731,-0.177642219,0.10822095013363,67.75735171,872.338926449589,24
"saopaulo_012","000092dc9a7208357f85",7.26511399333933,2.07612787480257,7.9371952805255,7.0086661191548,0.249686329,-0.090328532,0.118033569764814,44.49651252,752.808779714157,14
"saopaulo_013","00003fe27ed8269d0722",5.02188425140948,1.63913784234233,5.69396553859565,5.0657055062615,0.346611091,-0.175194793,0.113361832839903,67.96821748,829.042996865463,16
"saopaulo_014","0000d6c4eedadd755e07",9.00301032719053,2.63115639790532,9.6750916143767,8.9608228517486,0.127305256,0.023714417,0.115411983183215,83.63720862,751.478656956559,5
"saopaulo_015","000017400c483282a934",7.7657849071083,2.24745514464917,8.43786619429447,7.9199750024728,0.160002989,-0.023420361,0.119228610809878,65.66275839,770.499526154046,10
"saopaulo_016","0000894823f854ff1d87",6.72644017229736,1.75798885574748,7.39852145948353,7.0092295080424,0.167781687,-0.0531382,0.118855416298613,61.80576871,755.24024615412,15
"saopaulo_017","0000209db49d6f3203f2",7.72251736936297,1.82206674746738,8.39459865654914,8.0276258751823,0.237626782,0.016114417,0.118289116429258,69.68422872,777.533520886423,14
"saopaulo_018","00005e29281de367ea0f",7.19989381262607,1.70818046140804,7.87197509981224,6.7106869984408,0.191855347,-0.070456067,0.121763336988088,69.38253685,751.811472681652,17
"saopaulo_019","0000607b293250be4519",7.29528984400056,1.31458237196289,7.96737113118673,8.0407643025137,0.210060306,0.033331329,0.120276849754008,75.74173447,796.235400505316,16
"saopaulo_020","00000e28340da8c3487e",9.17252852300353,2.16636789294532,9.8446098101897,9.130816905109,0.123933358,-0.02100693,0.126272172293266,77.97810912,757.699935323064,9
"saopaulo_021","0000f1a14258e874f12c",8.89179865035779,2.2834862892174,9.56387993754396,9.1465477016372,0.179471495,0.009467647,0.118859327326266,79.50115355,752.012386666763,9
"saopaulo_022","0000d6ee96b610492538",7.44931049664322,1.70009063815561,8.12139178382939,7.9296142238904,0.129855698,-0.056534612,0.119033162613751,83.10850807,791.699064564286,13
"saopaulo_023","0000321351742d3be850",3.55336809637728,1.33205442099888,4.22544938356345,3.7731475347404,0.243928566,-0.11923484,0.100730314057788,50.68817545,764.113282344363,31
"saopaulo_024","0000871df1e749791f1e",8.29648966029258,1.86163477319301,8.96857094747875,8.5028434433864,0.173886928,-0.016963463,0.123463424363079,74.67191105,790.741301759664,11
"saopaulo_025","0000d22d427d3b2f1e28",5.19581821460593,1.14667966899431,5.8678995017921,4.9567192494946,0.249563991,-0.111847223,0.125568327092878,46.16666063,826.118538475546,16
"saopaulo_026","0000a69d6e9b6cf40581",7.33830521406964,2.86501028168024,8.01038650125581,6.777316496051,0.236566206,-0.055116716,0.104369484499472,60.18253046,801.453669685424,4
"saopaulo_027","000093ae25ea9876c1b8",7.98216739218311,1.98182748566812,8.65424867936928,7.6517395222856,0.213479194,-0.096475569,0.115520549071182,52.41001519,791.593397571313,12
"saopaulo_028","0000770d7d7433d1d2f7",8.32154506236809,1.87583891045474,8.99362634955426,8.4078404591573,0.180019103,-0.0537339,0.121152689081312,68.92150494,758.960293414236,10
"saopaulo_029","00009897c18f913d9dfa",8.50343479459919,2.12831276862956,9.17551608178536,9.3011145385844,0.175491899,-0.065712201,0.117081033105358,74.84392285,762.876740912274,10
"saopaulo_030","0000202c208e815e38d4",1.13395742021681,0.178893526179129,1.80603870740298,1.0066818646621,0.337089069,-0.209072364,0.100457618027807,38.65556391,777.129489798213,93
"saopaulo_031","00004e091648478c2285",7.25312157615454,1.52338652904503,7.92520286334071,7.5289766272539,0.21385798,-0.04598966,0.126366547314374,58.09803401,795.309408600168,10
"saopaulo_032","00004c31030056f38247",4.44996800312552,1.11530579698965,5.12204929031169,3.9789177575468,0.343479251,-0.143560597,0.125265611329596,47.4494356,839.886702423967,23
"saopaulo_033","0000b02c181666a48039",8.93665482838697,2.23452625129789,9.60873611557314,9.0309224853297,0.138136462,0.013334235,0.117479284214019,79.92759248,755.214649075317,12
"saopaulo_034","0000f01a64eca455d4f8",6.8068826595445,2.52229535968462,7.47896394673067,6.7606776347715,0.164640564,-0.03245185,0.109848765506367,69.70513534,739.186045608742,11
"saopaulo_035","0000f65d2c22e91e2304",9.24691281696946,1.88250680993371,9.91899410415563,9.2926105443535,0.168121978,0.01116691,0.127676208452534,78.79654651,770.296733861248,14
