"isInterpolated","useMicroData","CountryCode","CountryName","RegionCode","CoverageType","RequestYear","DataYear","DataType","PPP","PovertyLine","Mean","HeadCount","PovGap","PovGapSqr","Watts","Gini","Median","pr.mld","Polarization","ReqYearPopulation","SvyInfoID","Decile1","Decile2","Decile3","Decile4","Decile5","Decile6","Decile7","Decile8","Decile9","Decile10"
1,1,"BDI","Burundi","SSA","N","2013","","X",487.3273,5.5,53.7022,0.9686096,0.6955806,0.5289709,1.389471,-1,-1,-1,-1,9.600186,"BDI_N2006X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,"CPV","Cabo Verde","SSA","N","2013","2007.33","X",47.56514,5.5,252.9875,0.5130299,0.2031654,0.1054656,0.2998678,0.4718739,163.3424,0.3790471,-1,0.520106,"CPV_N2007X",0.01955,0.03023,0.03872,0.04873,0.05915,0.07129,0.0871,0.1126,0.1613,0.3714
1,1,"CMR","Cameroon","SSA","N","2013","","X",230.3753,5.5,148.9719,0.7244441,0.3749514,0.2364577,0.6336511,-1,-1,-1,-1,21.655715,"CMR_N2007X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,"CAN","Canada","OHI","N","2013","2013","Y",1.284584,5.5,1745.129,0.0101899,0.004749923,0.003302621,0.008693641,0.3401774,1477.01,0.2138714,-1,35.155451,"CAN_N2013Y",0.02363,0.04227,0.05599,0.06749,0.07867,0.09141,0.1068,0.1262,0.1547,0.2529
0,1,"CAF","Central African Republic","SSA","N","2013","2008","X",267.8691,5.5,50.79454,0.9595466,0.7533645,0.622377,1.786848,0.5623661,28.00113,0.570637,-1,4.499653,"CAF_N2008X",0.01208,0.02125,0.03019,0.03972,0.05006,0.06113,0.07647,0.1006,0.1463,0.4622
0,1,"TCD","Chad","SSA","N","2013","2011","X",251.2962,5.5,105.6799,0.8443796,0.4795164,0.3187829,0.8580048,0.4332121,78.66862,0.331302,-1,13.133589,"TCD_N2011X",0.01781,0.0308,0.04246,0.05462,0.06719,0.08076,0.09659,0.1217,0.1637,0.3244
0,1,"CHL","Chile","LAC","N","2013","2013","Y",391.6442,5.5,617.203,0.1013112,0.03041157,0.01470784,0.04125597,0.4726349,400.6472,0.4032615,-1,17.462982,"CHL_N2013Y",0.01886,0.03182,0.04069,0.04954,0.05934,0.07072,0.08548,0.107,0.1524,0.3841
0,0,"CHN","China","EAP","A","2013","2013","X",3.696112,5.5,287.6973,0.3632794,0.11702,0.05156774,0.1614224,-1,-1,-1,-1,1357.38,"CHN_R2013X",0,0,0,0,0,0,0,0,0,0
0,0,"CHN","China","EAP","R","2013","2013","X",3.696112,5.5,190.4046,0.5567923,0.1921569,0.08773572,0.2700741,0.3397101,154.4064,0.1911082,0.2847125,635.6882016,"CHN_R2013X",0.03254,0.04431,0.0549,0.0651,0.07558,0.08711,0.1009,0.1194,0.1502,0.27
0,0,"CHN","China","EAP","U","2013","2013","X",3.696112,5.5,373.3957,0.1928274,0.05083706,0.01970989,0.06571865,0.3668623,296.1597,0.2263235,0.3148823,721.6917984,"CHN_U2013X",0.02759,0.03993,0.05117,0.06208,0.07336,0.08583,0.1008,0.1209,0.1545,0.2839
0,1,"COL","Colombia","LAC","N","2013","2013","Y",1196.955,5.5,429.0246,0.3207415,0.1275547,0.07079757,0.1984183,0.5285454,255.7472,0.5371542,-1,47.342981,"COL_N2013Y",0.01158,0.02336,0.03252,0.04202,0.05325,0.06682,0.08465,0.1109,0.1593,0.4156
1,1,"COM","Comoros","SSA","N","2013","","X",220.5725,5.5,182.894,0.6289227,0.3046516,0.1832873,0.5020282,-1,-1,-1,-1,0.7415,"COM_N2004X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,"ZAR","Congo, Democratic Republic of","SSA","N","2013","2012.4","X",537.7323,5.5,47.16472,0.9756725,0.7300341,0.578028,1.576729,0.4209971,33.98304,0.3026011,-1,71.316033,"ZAR_N2012X",0.0209,0.03449,0.04473,0.05511,0.06602,0.07885,0.0961,0.1201,0.1637,0.3199
0,1,"COG","Congo, Republic of","SSA","N","2013","2011","X",296.5003,5.5,119.7372,0.8149595,0.4691868,0.3173792,0.8524247,0.4893867,77.72241,0.4222725,-1,4.751393,"COG_N2011X",0.0156,0.02635,0.03572,0.04654,0.05901,0.07269,0.09012,0.1166,0.1581,0.3793
0,1,"CRI","Costa Rica","LAC","N","2013","2013","Y",343.7857,5.5,693.8165,0.1228343,0.04132584,0.02094328,0.0619383,0.4927324,427.4465,0.4380533,-1,4.706401,"CRI_N2013Y",0.01445,0.02662,0.0364,0.04546,0.05575,0.06919,0.08822,0.1191,0.1712,0.3736
1,1,"CIV","Cote d'Ivoire","SSA","N","2013","","X",235.6879,5.5,110.7795,0.8350865,0.4607231,0.2972392,0.7963608,-1,-1,-1,-1,21.966312,"CIV_N2008X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,"HRV","Croatia","ECA","N","2013","2013","Y",4.358503,5.5,516.8649,0.07248234,0.02411343,0.01263043,0.04198472,0.3199474,453.483,0.1923577,-1,4.255689,"HRV_N2013Y",0.02551,0.04524,0.05763,0.07002,0.08159,0.09366,0.1089,0.1268,0.1538,0.2368
0,1,"CYP","Cyprus","OHI","N","2013","2013","Y",0.7115528,5.5,1389.563,0.002452543,0.001273484,0.0006612574,0.001796265,0.3703979,1050.377,0.2315322,-1,1.143896,"CYP_N2013Y",0.03153,0.04523,0.05324,0.06083,0.07001,0.08117,0.09425,0.1124,0.143,0.3084
0,1,"CZE","Czech Republic","ECA","N","2013","2013","Y",14.90097,5.5,805.6896,0.004185818,0.001125972,0.0003622737,0.001365632,0.2647234,716.3996,0.1212883,-1,10.514272,"CZE_N2013Y",0.0379,0.05665,0.06813,0.07715,0.08519,0.09304,0.1024,0.1155,0.1383,0.2257
0,1,"DNK","Denmark","OHI","N","2013","2013","Y",8.523886,5.5,1563.193,0.007292157,0.003393971,0.002814035,0.015434,0.2854036,1349.843,0.1589857,-1,5.614932,"DNK_N2013Y",0.03569,0.05532,0.06479,0.07302,0.0818,0.09112,0.1019,0.1176,0.1421,0.2367
0,1,"DJI","Djibouti","MNA","N","2013","2013","X",101.4806,5.5,147.667,0.747993,0.3619604,0.2197984,0.6103261,0.4412707,106.6954,0.3495465,-1,0.896688,"DJI_N2013X",0.01712,0.03209,0.04213,0.05473,0.06644,0.07913,0.09415,0.1146,0.1587,0.341
0,1,"DOM","Dominican Republic","LAC","N","2013","2013","Y",20.74103,5.5,370.762,0.3080783,0.1027898,0.0474323,0.1438729,0.469659,242.817,0.3766116,-1,10.281296,"DOM_N2013Y",0.01907,0.0304,0.03956,0.04909,0.05974,0.07225,0.08867,0.1111,0.1564,0.3737
0,1,"ECU","Ecuador","LAC","N","2013","2013","Y",0.5472345,5.5,411.2719,0.2685477,0.09441572,0.04720572,0.1373465,0.4686383,275.2825,0.3902227,-1,15.661547,"ECU_N2013Y",0.01621,0.02913,0.03871,0.04867,0.06038,0.07442,0.0919,0.1186,0.1652,0.3568
1,1,"EGY","Egypt, Arab Republic of","MNA","N","2013","","X",2.777,5.5,163.2178,0.6908706,0.2254191,0.09486991,0.2995144,-1,-1,-1,-1,89.807433,"EGY_N2012X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,"SLV","El Salvador","LAC","N","2013","2013","Y",0.5307735,5.5,307.4608,0.3496508,0.1195417,0.05637279,0.1688089,0.4335896,219.1173,0.3234057,-1,6.250777,"SLV_N2013Y",0.02115,0.03427,0.04413,0.05436,0.06534,0.07724,0.09294,0.1142,0.154,0.3424
0,1,"EST","Estonia","ECA","N","2013","2013","Y",0.6085634,5.5,766.744,0.03744713,0.01593959,0.01036044,0.02520732,0.3507902,606.6539,0.2328022,-1,1.317997,"EST_N2013Y",0.02361,0.04449,0.05684,0.06543,0.0735,0.08599,0.1023,0.1235,0.1586,0.2658
1,1,"ETH","Ethiopia","SSA","N","2013","","X",5.438614,5.5,98.38451,0.8930592,0.4853091,0.3002856,0.7965057,-1,-1,-1,-1,94.887724,"ETH_N2010X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,"FJI","Fiji","EAP","N","2013","","X",1.216541,5.5,222.2703,0.498443,0.1554676,0.06524608,0.2068995,-1,-1,-1,-1,0.879715,"FJI_N2008X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,"FIN","Finland","OHI","N","2013","2013","Y",0.9802463,5.5,1495.603,0.002345648,0.000724889,0.0002240166,0.000867109,0.2719225,1306.52,0.1256493,-1,5.438972,"FIN_N2013Y",0.03814,0.055,0.06556,0.07414,0.08266,0.09281,0.1051,0.1205,0.1438,0.2223
0,1,"FRA","France","OHI","N","2013","2013","Y",0.8797541,5.5,1582.381,0.002484029,0.0008134352,0.0002663724,0.000985421,0.3251057,1310.208,0.1795303,-1,65.99857,"FRA_N2013Y",0.03211,0.04793,0.05884,0.06852,0.07766,0.08802,0.1007,0.1175,0.1451,0.2636
0,1,"GAB","Gabon","SSA","N","2013","2005","X",359.2185,5.5,206.3244,0.5703733,0.2276584,0.1179475,0.3365333,0.4218499,146.6196,0.3011957,-1,1.817271,"GAB_N2005X",0.02273,0.03547,0.04551,0.0551,0.06559,0.07806,0.09424,0.1166,0.1553,0.3315
1,1,"GMB","Gambia, The","SSA","N","2013","","X",10.82647,5.5,140.4648,0.7623008,0.3517422,0.2007887,0.5507634,-1,-1,-1,-1,1.859324,"GMB_N2010X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,"GEO","Georgia","ECA","N","2013","2013","X",0.8419071,5.5,211.0706,0.5138123,0.1943701,0.0989637,0.28604,0.3835011,163.4462,0.2523962,-1,3.776,"GEO_N2013X",0.02343,0.03821,0.04919,0.05998,0.07155,0.08481,0.1015,0.1236,0.1582,0.2895
0,1,"DEU","Germany","OHI","N","2013","2013","Y",0.8180292,5.5,1599.979,0.003450069,4.517875E-05,5.916171E-07,4.547717E-05,0.3114546,1351.157,0.1641778,-1,80.645605,"DEU_N2013Y",0.03275,0.049,0.05953,0.0694,0.07943,0.09021,0.1033,0.1212,0.1488,0.2464
0,1,"GHA","Ghana","SSA","N","2013","2012.8","X",0.7880217,5.5,191.6339,0.5993601,0.2592951,0.1443961,0.4023206,0.4237322,139.5646,0.3095396,-1,26.346251,"GHA_N2012X",0.02013,0.03345,0.04365,0.05421,0.06611,0.07988,0.09679,0.1223,0.166,0.3175
0,1,"GRC","Greece","OHI","N","2013","2013","Y",0.7582539,5.5,653.9092,0.06994359,0.02459877,0.01270103,0.03756942,0.3612586,553.6269,0.2436974,-1,10.965211,"GRC_N2013Y",0.02017,0.03901,0.05254,0.06504,0.07801,0.09129,0.1066,0.1259,0.1574,0.2641
1,1,"GTM","Guatemala","LAC","N","2013","","Y",3.873239,5.5,268.1804,0.4884903,0.205853,0.1139444,0.3191509,-1,-1,-1,-1,15.596214,"GTM_N2006Y",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,"GIN","Guinea","SSA","N","2013","2012","X",2572.343,5.5,88.72746,0.9199406,0.5104761,0.3226571,0.8524739,0.337297,72.16841,0.1910851,-1,11.536615,"GIN_N2012X",0.03025,0.04529,0.05607,0.06574,0.07587,0.08796,0.1022,0.1216,0.1509,0.2641
0,1,"GNB","Guinea-Bissau","SSA","N","2013","2010","X",248.2358,5.5,70.21931,0.93148,0.6600192,0.5038656,1.359087,0.5066424,42.83018,0.446719,-1,1.681495,"GNB_N2010X",0.0163,0.02859,0.03734,0.04569,0.05571,0.06649,0.08057,0.1023,0.147,0.42
0,0,"GUY","Guyana","LAC","N","2013","1998","Y",133.2612,5.5,307.0656,0.3492011,0.1418739,0.07876416,0.2275336,0.4455205,225.4368,0.3662881,0.3710533,0.758081,"GUY_N1998Y",0.01538,0.02976,0.04247,0.05459,0.06694,0.08046,0.09656,0.1182,0.1545,0.3411
0,1,"HTI","Haiti","LAC","N","2013","2012","X",20.70574,5.5,133.2809,0.7737287,0.3796558,0.2300973,0.625397,0.4110378,100.5946,0.2931353,-1,10.431776,"HTI_N2012X",0.02102,0.03438,0.04554,0.05699,0.0694,0.08225,0.09878,0.1206,0.159,0.312
0,1,"HND","Honduras","LAC","N","2013","2013","Y",10.08031,5.5,242.3152,0.5525345,0.2704395,0.1691056,0.4672911,0.5257532,148.7072,0.5174931,-1,8.657785,"HND_N2013Y",0.01062,0.02155,0.03159,0.04246,0.05429,0.06895,0.08791,0.1154,0.1648,0.4024
0,1,"HUN","Hungary","ECA","N","2013","2013","Y",137.8829,5.5,589.9515,0.04499501,0.009282637,0.003344839,0.01185374,0.3150277,512.7363,0.1721466,-1,9.893082,"HUN_N2013Y",0.02895,0.04662,0.0597,0.07067,0.08143,0.09245,0.1052,0.1216,0.1494,0.244
0,1,"ISL","Iceland","OHI","N","2013","2013","Y",138.895,5.5,1446.999,0.002307703,0.0003846627,6.411804E-05,0.0004207986,0.2540178,1296.695,0.1090124,-1,0.323764,"ISL_N2013Y",0.04135,0.05731,0.06745,0.07636,0.08512,0.09399,0.1053,0.1198,0.1403,0.2131
0,1,"IND","India","SAS","A","2013","2011.5","X",14.97516,5.5,121.2439,0.8421185,0.399776,0.2219537,0.6030456,-1,-1,-1,-1,1278.562207,"IND_R2011X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,"IND","India","SAS","R","2013","2011.5","X",14.97516,5.5,103.6575,0.901424,0.4455296,0.2519611,0.6781204,0.3112752,83.92653,0.1633227,-1,869.49901449,"IND_R2011X",0.03948,0.05188,0.06051,0.06851,0.07636,0.08599,0.09762,0.1135,0.1396,0.2665
0,1,"IND","India","SAS","U","2013","2011.5","X",14.97516,5.5,158.6255,0.7160597,0.3025228,0.1581705,0.4434676,0.3901443,116.2302,0.2502741,-1,409.06319251,"IND_U2011X",0.02946,0.04078,0.04968,0.05838,0.06803,0.07951,0.0936,0.1138,0.1485,0.3183
0,1,"IDN","Indonesia","EAP","A","2013","2013","X",4091.939,5.5,160.841,0.7097976,0.3084813,0.1618011,0.4501818,-1,-1,-1,-1,252.032263,"IDN_R2013X",0,0,0,0,0,0,0,0,0,0
0,1,"IDN","Indonesia","EAP","R","2013","2013","X",4091.939,5.5,127.4097,0.8009891,0.3506723,0.1838609,0.5112562,0.3204986,101.9884,0.1664182,-1,120.34036494,"IDN_R2013X",0.03839,0.04928,0.05719,0.06548,0.07482,0.08594,0.09999,0.1189,0.1486,0.2614
0,1,"IDN","Indonesia","EAP","U","2013","2013","X",4091.939,5.5,191.3905,0.6264665,0.2699271,0.1416428,0.3943719,0.4310654,127.8266,0.3048463,-1,131.69189806,"IDN_U2013X",0.02637,0.03499,0.04206,0.05056,0.06108,0.07408,0.09269,0.1204,0.1645,0.3332
0,1,"IRN","Iran, Islamic Republic of","MNA","N","2013","2013","X",5001.363,5.5,504.6427,0.08102766,0.01882452,0.006583889,0.02373481,0.3735942,387.7272,0.2321242,-1,77.435384,"IRN_N2013X",0.02712,0.04082,0.05084,0.06063,0.07105,0.08355,0.09939,0.1204,0.1565,0.2897
0,1,"IRQ","Iraq","MNA","N","2013","2012","X",1003.799,5.5,184.3388,0.552006,0.1719104,0.07259753,0.2294172,0.2954186,156.8274,0.142462,-1,33.883145,"IRQ_N2012X",0.03679,0.05118,0.06097,0.07029,0.08005,0.09065,0.1036,0.1214,0.1481,0.237
