IDWHOCity,Region,iso3,Country,City_Town,PM10AnnualMean_Ug_m3,Year,NumberAndTypeOfMonitoringStations_PM10_,noteOnConvertedPM10,PM2_5AnnualMean_Ug_m3,Year_1,NumberAndTypeOfMonitoringStations_PM2_5_,noteOnConvertedPM2_5,TemporalCoverage,forAirQuality,isInterpolated,useMicroData,CountryCode,RegionCode,CoverageType,RequestYear,DataYear,DataType,PPP,PovertyLine,Mean,HeadCount,PovGap,PovGapSqr,Watts,Gini,Median,pr_mld,Polarization,ReqYearPopulation,SvyInfoID,Decile1,Decile2,Decile3,Decile4,Decile5,Decile6,Decile7,Decile8,Decile9,Decile10
14,Wpr HI,AUS,Australia,"Canberra",16,2014,"-",converted from PM2.5,7,2014,"1 station, Monash district playing fields",measured data,"PM10: NA; PM2.5:>75%","http://www.environment.act.gov.au/__data/assets/pdf_file/0005/745646/2014-ACT-Air-Quality-Report-v1-0.pdf",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
15,Wpr HI,AUS,Australia,"Central Coast",13,2014,"-",converted from PM2.5,6,2014,"1 station, race course",measured data,"PM10: NA; PM2.5:>75%","http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
16,Wpr HI,AUS,Australia,"Collie",19,2014,"1 station, rural (small town)",measured data,8,2014,"-",converted from PM10,"PM10: NA; PM2.5:NA","http://www.der.wa.gov.au/your-environment/air",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
17,Wpr HI,AUS,Australia,"Darwin",19,2014,"-",converted from PM2.5,8,2014,"1 station, residential",measured data,"PM10: NA; PM2.5:>75%","http://www.ntepa.nt.gov.au/__data/assets/pdf_file/0011/359048/nepm_compliance_report_nt_2014.pdf",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
18,Wpr HI,AUS,Australia,"Devonport, Tasmania",15,2013,"-",converted from PM2.5,6,2013,"1 station, residential",measured data,"PM10: NA; PM2.5:>75%","Environment Protection Authority",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
19,Wpr HI,AUS,Australia,"Geelong",18,2014,"1 station, Residential/Light Industry",measured data,8,2014,"-",converted from PM10,"PM10: >75%; PM2.5:NA","EPA Victoria, Environment Protection Authority Macleod",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
20,Wpr HI,AUS,Australia,"Geraldton",22,2014,"1 station, rural (small town)",measured data,10,2014,"-",converted from PM10,"PM10: NA; PM2.5:NA","http://www.der.wa.gov.au/your-environment/air",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
21,Wpr HI,AUS,Australia,"Gladstone",14,2014,"4 stations, Residential (outer urban)",measured data,5,2014,"4 stations, Residential (outer urban)",measured data,"PM10: >75%; PM2.5:>75%","http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/network-stations/",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
22,Wpr HI,AUS,Australia,"Hobart, Tasmania",14,2013,"-",converted from PM2.5,6,2013,"1 station, residential",measured data,"PM10: NA; PM2.5:>75%","Environment Protection Authority",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
23,Wpr HI,AUS,Australia,"La Trobe Valley",20,2014,"2 stations, residential, rural",measured data,10,2014,"3 stations, residential, rural",measured data,"PM10: >75%; PM2.5:>75%","http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
24,Wpr HI,AUS,Australia,"Launceston, Tasmania",19,2013,"-",converted from PM2.5,8,2013,"1 station, Rural (small town)",measured data,"PM10: NA; PM2.5:<75 % but annually representative","Environment Protection Authority",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
