"nbhd_code","ndvi_buenosaires"
"buenosaires_4",0.184976245473002
"buenosaires_1",0.226269094816861
"buenosaires_2",0.18199559490801
"buenosaires_13",0.29148434689207
"buenosaires_14",0.289265802972488
"buenosaires_15",0.218696979895033
"buenosaires_11",0.210936709263323
"buenosaires_10",0.193982821429319
"buenosaires_12",0.250061905216028
"buenosaires_9",0.203734734391479
"buenosaires_8",0.282478505533708
"buenosaires_7",0.184911493435157
"buenosaires_6",0.180785878616773
"buenosaires_5",0.126258231654413
"buenosaires_3",0.0966825836187171
