"nbhd_code","buenosaires_urbancount"
"buenosaires_4",24
"buenosaires_1",20
"buenosaires_2",6
"buenosaires_13",18
"buenosaires_14",19
"buenosaires_15",16
"buenosaires_11",17
"buenosaires_10",17
"buenosaires_12",18
"buenosaires_9",20
"buenosaires_8",27
"buenosaires_7",13
"buenosaires_6",11
"buenosaires_5",9
"buenosaires_3",8
