"nbhd_code","Albedo_buenosaires"
"buenosaires_4",0.124182552859702
"buenosaires_1",0.106124308591123
"buenosaires_2",0.111444743043266
"buenosaires_13",0.120960017997933
"buenosaires_14",0.119063232945459
"buenosaires_15",0.128437623396879
"buenosaires_11",0.128671784870923
"buenosaires_10",0.128041279951466
"buenosaires_12",0.131358631875834
"buenosaires_9",0.132381982579008
"buenosaires_8",0.13683622596544
"buenosaires_7",0.129525565014271
"buenosaires_6",0.118786036358738
"buenosaires_5",0.119115440729857
"buenosaires_3",0.111458801523769
