"nbhd_code","system:index","UHI","UHINIGHT","UHIEQ","Buffer_UHI","NDVI","NDBI","Albedo","Impervious_surface","DEM","Count"
"istanbul_001","000063da73c593d399b4",-2.94358299019289,4.74360427205271,0,-1.7366321854757,0.350797477,-0.143154265,0.054176244481755,32.53169262,47.3684684245618,3
"istanbul_002","00007f2c54611deacf5f",0.215308522154024,0.356195841952877,3.15889151234691,1.4129968835709,0.410016985,-0.139567781,0.127381393015574,31.35510558,85.4151030008755,7
"istanbul_003","00001b013176c9e48763",4.17517141699024,2.04521657408956,7.11875440718313,5.9284742307773,0.164547691,-0.040524811,0.133850441726773,78.27558136,99.6525947080451,31
"istanbul_004","00003f08c80049bf59f2",1.95606395655772,0.688239895813932,4.89964694675061,2.858058593045,0.18506382,-0.083777816,0.10651293263827,60.83567183,39.7255882047632,23
"istanbul_005","0000b748d50374622519",5.12269468994868,1.98256268417312,8.06627768014157,6.5613588755281,0.118060116,-0.006835699,0.130387295283417,90.39543518,78.5734498873213,24
"istanbul_006","00000659c306c3c498a7",4.90878610101516,2.14859779778459,7.85236909120805,6.3368613159909,0.110769841,0.009603146,0.135111735821082,89.94930763,50.7562338520812,18
"istanbul_007","000076c7bdfecfe48435",3.69909517773805,1.84622400642825,6.64267816793094,4.8534545782371,0.196304808,-0.038505282,0.130426126275959,66.12797123,29.0086847351346,48
"istanbul_008","0000a527d6d6943e18e7",2.66475336994131,0.542483370684373,5.6083363601342,4.0772422513145,0.269186457,-0.057668697,0.140489728531341,50.59489595,102.515251065359,37
"istanbul_009","00000118b4795c32ad64",4.68129859043115,1.77348492585433,7.62488158062404,6.1300269740063,0.100980336,-0.012563294,0.128079666499522,89.99100651,97.8835905404313,11
"istanbul_010","0000fe1fb2ee44093d18",1.56919087541225,1.36908373520497,4.51277386560514,3.0474275900977,0.254213502,-0.071769555,0.105306692207362,58.7077223,87.1218619566946,31
"istanbul_011","0000f52109a43fd72466",-1.10815668264094,0.694328792703632,1.83542630755195,0.0603467881396007,0.553431493,-0.248272761,0.121739201814516,22.44907987,98.8193266291155,19
"istanbul_012","00000be1778c0470ca64",2.97519837694774,1.48419081021131,5.91878136714063,4.255876887333,0.253077349,-0.031238061,0.141720438280075,51.59163292,82.5519089704251,40
"istanbul_013","00005e28499709a1b50c",2.37534218891417,1.36583454119147,5.31892517910706,3.7032914454963,0.141760711,0.008333374,0.106241863271386,86.27628034,43.1561662690033,12
"istanbul_014","000020205af9c3d94591",1.8457098024487,0.622888121216103,4.78929279264159,3.1441962747196,0.22099475,-0.068634491,0.124264346587925,40.71061381,74.0777825119505,45
"istanbul_015","0000deec3e28ad5c887b",-0.445692884267168,-0.224199383706244,2.49789010592572,0.706671181057601,0.580195155,-0.230794102,0.135897959278621,20.30938291,115.899732007491,3
"istanbul_016","000057028bc6c3c50a36",-0.39725825947749,0.180324444659302,2.5463247307154,0.727104610322801,0.572331733,-0.25904445,0.122881534261083,20.74740108,125.133750287884,10
"istanbul_017","00000f726df9abd395f7",4.42570523032869,1.48095718576925,7.36928822052158,5.8773935234862,0.163118826,-0.043195971,0.127042082486948,66.04918137,106.858819750376,18
"istanbul_018","0000c3a46d039a522653",3.50535145234907,1.1139956679143,6.44893444254196,5.0268642854677,0.202159156,-0.020087791,0.144953585300407,67.61411047,102.890180200386,41
"istanbul_019","00002df449b8a82fa759",-0.391463259154714,0.433784315888562,2.55211973103818,0.656294662599002,0.484308675,-0.197086885,0.120421474140585,47.11029369,84.303916011591,34
"istanbul_020","000094132b10f1af3281",2.20632776666402,1.28026555166399,5.14991075685691,3.4171813316133,0.147752654,-0.015158185,0.11304502251651,77.99307388,40.1550446298081,29
"istanbul_021","00003abeb98aac80bb87",3.3607836581771,1.3187147294605,6.30436664836999,5.6224727956139,0.136205888,-0.011990503,0.127300324954462,88.40956099,89.4294952541275,8
"istanbul_022","0000dc3f325acb23be18",5.04379167700399,2.22262151605678,7.98737466719688,6.4203244013014,0.112583278,0.040209804,0.134178723576593,91.38601497,62.3535270999019,8
"istanbul_023","00002b3bf63cfda3c6ad",3.0804331393047,2.19129688197738,6.02401612949759,4.3528626077569,0.212676135,-0.024560168,0.120106896477556,70.54948571,38.7067896705742,33
"istanbul_024","000022061aec131d0cc2",2.6744219922629,1.13524989512236,5.61800498245579,4.7427398726379,0.19326444,-0.046212211,0.119481247497794,69.24680727,56.5397607163014,16
"istanbul_025","00000ab452ce89b099ee",2.86981782167926,1.50703810573016,5.81340081187215,4.1830841137371,0.274556079,-0.03654072,0.128642608228557,60.38500255,114.586951668768,40
"istanbul_026","0000d48ae198df536bc1",3.62610491413465,1.76365641637642,6.56968790432754,4.9211930398071,0.154752794,-0.059338887,0.120805762319282,69.6727324,46.7606497602451,29
"istanbul_027","0000ca0004be0d6efd7a",3.18787348762532,1.95991871992679,6.13145647781821,4.3361606294391,0.197134715,-0.082297665,0.124410469036226,62.47102289,120.67620248835,56
"istanbul_028","00003523fe637c16fe44",1.22521478942123,0.390006119784512,4.16879777961412,2.3456398440044,0.419471866,-0.141190129,0.118332506037049,57.68179613,132.322869515016,74
"istanbul_029","0000441a6bd517b71d5b",2.05420154502856,0.805029879155535,4.99778453522145,3.3901242395395,0.378797403,-0.139109201,0.128034659127903,52.97207237,153.179514692336,41
"istanbul_030","0000081d4ff2b6547e3f",-1.35553788849814,0.980130296282148,1.58804510169475,-0.2417015351039,0.508051274,-0.228574833,0.112716619523858,33.98271224,100.478148706129,38
