"nbhd_code","ndbi_2015"
"casablanca_025",0.0245657775704811
"casablanca_011",0.0325799005782326
"casablanca_012",0.0297937367041039
"casablanca_031",0.00350353740893332
"casablanca_019",0.0221477578091686
"casablanca_016",0.00172974351676607
"casablanca_002",-0.00200023990184728
"casablanca_014",-0.024013327927917
"casablanca_022",0.0205886417190887
"casablanca_005",0.0268650809099258
"casablanca_015",0.00538604022062657
"casablanca_021",0.0391678423622519
"casablanca_026",0.0302029706019615
"casablanca_027",0.0365981688560901
"casablanca_009",0.0273226547325983
"casablanca_010",0.0112298918640308
"casablanca_006",0.0164694425879616
"casablanca_033",0.0319930949494464
"casablanca_008",0.0224331519826009
"casablanca_023",0.038475971564806
"casablanca_018",0.0447975916372137
"casablanca_032",0.0363302160318851
"casablanca_030",0.0417970652806832
"casablanca_034",0.0408511932218268
"casablanca_001",0.0446741784987449
"casablanca_013",0.0193494608768221
"casablanca_003",0.0318405860637221
"casablanca_029",0.0281662338983812
"casablanca_004",0.0225507536695588
"casablanca_017",0.023324314558483
"casablanca_028",0.00911803611846777
"casablanca_020",0.0508648733080911
"casablanca_024",0.0115873578731636
"casablanca_007",-0.0304410929764901
"barcelona_22",-0.211559350825368
"barcelona_39",-0.167554135506109
"barcelona_40",-0.157989473938026
"barcelona_43",-0.0710596141238859
"barcelona_28",-0.0340423362271483
"barcelona_41",-0.0154516995177505
"barcelona_38",0.0304764588574818
"barcelona_29",-0.0236098426630669
"barcelona_25",-0.0483616349585295
"barcelona_27",0.0362627079853315
"barcelona_26",0.0308797024954647
"barcelona_24",-0.0119119080850425
"barcelona_23",-0.074754046530074
"barcelona_21",-0.0879482173049406
"barcelona_20",-0.0231141509234148
"barcelona_19",0.00298950986881173
"barcelona_18",0.0635408753440706
"barcelona_8",0.0582729298271367
"barcelona_9",0.0399637391225814
"barcelona_15",0.0522053465416017
"barcelona_14",0.00265052719462074
"barcelona_16",0.0429493764301243
"barcelona_17",0.0856205970872426
"barcelona_13",-0.00251046840037312
"barcelona_11",-0.0556828035577152
"barcelona_12",0.0219936729764045
"barcelona_1",0.0665667754746541
"barcelona_2",0.0786732274379921
"barcelona_3",0.00246473585393128
"barcelona_10",0.0486368951674287
"barcelona_7",0.0451388493769778
"barcelona_31",0.0855732227311225
"barcelona_30",-0.0161328746887348
"barcelona_37",0.0162125014476468
"barcelona_32",0.0662360094549937
"barcelona_34",-0.00121079420548208
"barcelona_36",0.00157592103081116
"barcelona_33",0.0396567358666422
"barcelona_6",0.0548024231423276
"barcelona_35",0.0244869347943884
"barcelona_64",0.0779736448123866
"barcelona_63",0.0508045396967429
"barcelona_62",0.0574598753663122
"barcelona_65",0.0431776067216747
"barcelona_5",0.0335018910543524
"barcelona_66",0.0245749077256501
"barcelona_4",0.0126509999534508
"barcelona_67",-0.03123790943596
"barcelona_68",0.0306697937342357
"barcelona_71",0.00490565323936322
"barcelona_61",0.036094141103444
"barcelona_72",-0.0149895083007549
"barcelona_73",-0.0110494826395395
"barcelona_69",-0.0157602224325339
"barcelona_70",-0.0103650133947131
"barcelona_56",-0.0357750114021296
"barcelona_57",-0.00515040257664845
"barcelona_59",0.0413811413012977
"barcelona_60",0.0409539992854312
"barcelona_44",0.0535669211188323
"barcelona_45",0.0163657923817374
"barcelona_52",0.0452035021466519
"barcelona_53",0.000973005937071301
"barcelona_58",0.00193297693828576
"barcelona_54",-0.128364143599353
"barcelona_50",-0.00902359334720495
"barcelona_55",-0.0454102069013595
"barcelona_49",-0.0698776219263984
"barcelona_48",-0.0343940647560808
"barcelona_51",0.0416445401044871
"barcelona_46",0.00170512577845478
"barcelona_47",0.0352664263676188
"barcelona_42",-0.0420028989492572
"istanbul_032",-0.13684434123556
"istanbul_015",-0.246988123391771
"istanbul_014",-0.0938759424345771
"istanbul_002",-0.130267272645403
"istanbul_018",-0.0042165245052813
"istanbul_008",-0.0444785645259849
"istanbul_012",-0.0509765734461437
"istanbul_001",-0.158222987505324
"istanbul_004",-0.109331001292894
"istanbul_026",-0.0429370943760284
"istanbul_007",-0.0292505997315111
"istanbul_006",0.0501465972549573
"istanbul_005",0.0435447207061021
"istanbul_022",0.0624402763705021
"istanbul_017",-0.00346295363707332
"istanbul_019",-0.181864139023882
"istanbul_035",-0.0755108968697283
"istanbul_009",0.022311014878329
"istanbul_021",0.0407083836526543
"istanbul_024",-0.0356069832566827
"istanbul_020",0.00365749079085418
"istanbul_013",0.0374565417856009
"istanbul_033",-0.12546044052659
"istanbul_030",-0.234759557277722
"istanbul_010",-0.0783050935198957
"istanbul_038",-0.0780043620356926
"istanbul_023",-0.0105331598699909
"istanbul_039",0.01169408358446
"istanbul_025",-0.0584376290136569
"istanbul_028",-0.158773222200888
"istanbul_027",-0.055105644553631
"istanbul_034",-0.0429400170266592
"istanbul_029",-0.123308888149983
"istanbul_003",-0.00820745470406436
"istanbul_037",-0.0807811915086909
"istanbul_016",-0.268611728692371
