"nbhd_code","Prec_all"
"casablanca_025",1.46044758330064
"casablanca_011",1.45189854633733
"casablanca_012",1.44744395747556
"casablanca_031",1.48136961519839
"casablanca_019",1.55272790405021
"casablanca_016",1.54632347327403
"casablanca_002",1.56612504229097
"casablanca_014",1.56216905058604
"casablanca_022",1.56123632082617
"casablanca_005",1.55653986277389
"casablanca_015",1.53967425898021
"casablanca_021",1.48983922522608
"casablanca_026",1.57208378798146
"casablanca_027",1.57603704929352
"casablanca_009",1.57411409753218
"casablanca_010",1.55936880577377
"casablanca_006",1.55360269546509
"casablanca_033",1.56909997394389
"casablanca_008",1.5537077903791
"casablanca_023",1.5614686377007
"casablanca_018",1.57056288336389
"casablanca_032",1.56797463875201
"casablanca_030",1.63057559485532
"casablanca_034",1.606253552706
"casablanca_001",1.58061270291148
"casablanca_013",1.62307619994197
"casablanca_003",1.58911990199006
"casablanca_029",1.57604387858331
"casablanca_004",1.56157223905293
"casablanca_017",1.55480688425458
"casablanca_028",1.56270631406845
"casablanca_020",1.56210286178674
"casablanca_024",1.5627361536026
"casablanca_007",1.54086318336501
"barcelona_22",1.72832280090138
"barcelona_39",1.79731559753418
"barcelona_40",1.79731559753418
"barcelona_43",1.74640228320785
"barcelona_28",1.79676088771053
"barcelona_41",1.77606265062749
"barcelona_38",1.78483384376427
"barcelona_29",1.78438889341899
"barcelona_25",1.79700240605911
"barcelona_27",1.79567985297198
"barcelona_26",1.67818469618476
"barcelona_24",1.68065512409199
"barcelona_23",1.73700202991653
"barcelona_21",1.62645563686583
"barcelona_20",1.62500286102295
"barcelona_19",1.62500286102295
"barcelona_18",1.62500286102295
"barcelona_8",1.74744750113597
"barcelona_9",1.68042380535455
"barcelona_15",1.62500286102295
"barcelona_14",1.62540624863312
"barcelona_16",1.62500286102295
"barcelona_17",1.62500286102295
"barcelona_13",1.62500286102295
"barcelona_11",1.74785329017161
"barcelona_12",1.63974877711643
"barcelona_1",1.7707781791687
"barcelona_2",1.7707781791687
"barcelona_3",1.7707781791687
"barcelona_10",1.77067655397623
"barcelona_7",1.76786966854374
"barcelona_31",1.72923122439755
"barcelona_30",1.72225163232569
"barcelona_37",1.71754449224946
"barcelona_32",1.71726512908936
"barcelona_34",1.71726512908936
"barcelona_36",1.71726512908936
"barcelona_33",1.71726512908936
"barcelona_6",1.71726566784026
"barcelona_35",1.71726512908936
"barcelona_64",1.71726512908936
"barcelona_63",1.71726512908936
"barcelona_62",1.71726512908936
"barcelona_65",1.71726512908936
"barcelona_5",1.75929441412629
"barcelona_66",1.74813354563449
"barcelona_4",1.7707781791687
"barcelona_67",1.7707781791687
"barcelona_68",1.71391868095154
"barcelona_71",1.696581271101
"barcelona_61",1.71726512908936
"barcelona_72",1.71003309412378
"barcelona_73",1.69474333109873
"barcelona_69",1.68788874149323
"barcelona_70",1.68788874149323
"barcelona_56",1.75332307815552
"barcelona_57",1.74051172519899
