nbhd_code,Cities_urbanLST_count
jakarta_014,29
bangkok_017,37
bangkok_039,48
bangkok_004,43
bangkok_024,23
bangkok_044,34
bangkok_045,52
bangkok_029,36
bangkok_003,48
bangkok_031,23
bangkok_015,24
bangkok_001,38
bangkok_012,5
bangkok_046,10
bangkok_037,14
bangkok_005,9
bangkok_022,6
bangkok_050,11
bangkok_042,8
bangkok_009,4
bangkok_030,10
bangkok_040,1
bangkok_034,6
bangkok_011,12
bangkok_035,2
bangkok_038,7
bangkok_018,12
bangkok_032,9
bangkok_008,13
bangkok_010,12
bangkok_014,34
bangkok_016,10
bangkok_019,16
bangkok_026,22
bangkok_002,27
bangkok_049,19
bangkok_043,25
bangkok_048,12
bangkok_023,14
bangkok_033,14
bangkok_007,20
bangkok_047,32
bangkok_006,97
hochiminh_001,262
hochiminh_007,108
hochiminh_004,445
bangkok_036,56
bangkok_025,131
bangkok_041,29
bangkok_013,25
bangkok_020,26
bangkok_021,127
bangkok_027,62
bangkok_028,250
hochiminh_012,60
hochiminh_024,49
hochiminh_021,107
hochiminh_005,491
hochiminh_014,45
hochiminh_019,32
hochiminh_008,92
hochiminh_002,20
hochiminh_006,20
hochiminh_013,9
hochiminh_009,6
hochiminh_015,5
hochiminh_022,24
hochiminh_023,17
hochiminh_003,51
hochiminh_018,8
hochiminh_020,20
hochiminh_017,3
hochiminh_011,4
hochiminh_010,5
hochiminh_016,4
singapore_034,18
singapore_032,7
singapore_009,12
singapore_010,8
singapore_008,15
singapore_014,16
singapore_012,59
singapore_033,12
singapore_015,7
singapore_019,9
singapore_038,12
singapore_031,17
singapore_027,10
singapore_055,9
singapore_043,34
singapore_048,7
singapore_013,11
singapore_023,18
singapore_037,15
singapore_017,6
singapore_002,15
singapore_021,12
singapore_007,10
singapore_036,11
singapore_018,3
singapore_030,9
singapore_022,9
singapore_001,14
singapore_020,10
singapore_050,16
singapore_051,11
singapore_049,11
singapore_047,9
singapore_029,10
singapore_052,20
singapore_045,4
singapore_054,1
singapore_004,0
singapore_046,6
singapore_024,1
singapore_003,1
singapore_011,13
singapore_005,0
singapore_042,4
singapore_028,8
singapore_040,2
singapore_016,1
singapore_044,1
singapore_039,1
singapore_053,1
singapore_025,14
singapore_035,20
singapore_006,24
singapore_041,0
singapore_026,29
manila_014,157
manila_001,47
manila_017,32
manila_009,1
manila_004,6
manila_006,35
manila_015,6
manila_007,24
manila_012,33
manila_005,12
manila_016,29
manila_003,32
manila_013,1
manila_011,17
manila_010,45
manila_002,34
manila_008,38
seoul_005,39
seoul_008,16
seoul_009,27
seoul_010,56
seoul_014,37
seoul_025,29
seoul_013,22
seoul_012,34
seoul_023,23
seoul_011,20
seoul_007,25
seoul_006,24
seoul_004,61
seoul_003,47
seoul_024,13
seoul_018,31
seoul_022,22
seoul_020,19
seoul_002,45
seoul_021,22
seoul_001,33
seoul_015,41
seoul_016,24
seoul_019,21
seoul_017,33
beijing_005,2606
beijing_009,1890
beijing_003,1354
beijing_006,395
beijing_012,107
beijing_007,569
beijing_004,55
beijing_015,68
beijing_002,609
beijing_001,1756
beijing_016,2634
beijing_008,2795
beijing_013,1322
beijing_014,1172
beijing_010,2881
beijing_011,1250
delhi_001,514
delhi_009,293
delhi_005,44
delhi_008,494
delhi_006,14
delhi_004,77
delhi_003,71
delhi_002,82
delhi_007,135
bangalore_184,28
bangalore_059,14
bangalore_096,14
bangalore_077,17
bangalore_016,6
bangalore_093,4
bangalore_153,10
bangalore_072,21
bangalore_012,3
bangalore_040,2
bangalore_053,6
bangalore_190,6
bangalore_001,1
bangalore_191,3
bangalore_020,4
bangalore_028,5
bangalore_138,3
bangalore_060,8
bangalore_044,14
bangalore_126,2
bangalore_019,26
bangalore_171,7
bangalore_123,5
bangalore_076,7
bangalore_003,11
bangalore_109,3
bangalore_089,2
bangalore_045,2
bangalore_165,5
bangalore_166,2
bangalore_183,0
bangalore_139,2
bangalore_002,1
bangalore_047,1
bangalore_110,3
bangalore_116,1
bangalore_176,2
bangalore_119,2
bangalore_058,1
bangalore_081,2
bangalore_071,1
bangalore_024,2
bangalore_018,23
bangalore_022,4
bangalore_006,8
bangalore_025,3
bangalore_088,0
bangalore_078,2
bangalore_143,2
bangalore_162,4
bangalore_160,0
bangalore_147,3
bangalore_084,3
bangalore_108,3
bangalore_056,6
bangalore_005,13
bangalore_186,6
bangalore_197,2
bangalore_112,1
bangalore_013,0
bangalore_100,0
bangalore_050,1
bangalore_142,2
bangalore_195,2
bangalore_015,1
bangalore_187,1
bangalore_178,2
bangalore_063,1
bangalore_087,2
bangalore_192,3
bangalore_027,1
bangalore_070,1
bangalore_170,0
bangalore_177,2
bangalore_158,3
bangalore_041,2
bangalore_092,0
bangalore_030,1
bangalore_029,1
bangalore_023,2
bangalore_035,1
bangalore_174,1
bangalore_140,1
bangalore_031,0
bangalore_049,3
bangalore_185,3
bangalore_037,0
bangalore_054,1
bangalore_036,1
bangalore_095,2
bangalore_122,1
bangalore_007,7
bangalore_151,1
bangalore_086,1
bangalore_052,2
bangalore_085,0
bangalore_039,3
bangalore_154,1
bangalore_156,1
bangalore_146,2
bangalore_168,0
bangalore_021,1
bangalore_061,2
bangalore_075,2
bangalore_161,4
bangalore_091,1
bangalore_129,3
bangalore_099,1
bangalore_094,1
bangalore_118,1
bangalore_064,5
bangalore_097,1
bangalore_157,1
bangalore_113,1
bangalore_132,0
bangalore_102,2
bangalore_135,2
bangalore_193,2
bangalore_180,11
bangalore_026,9
bangalore_107,5
bangalore_051,2
bangalore_065,2
bangalore_124,0
bangalore_159,1
bangalore_148,2
bangalore_130,0
bangalore_043,5
bangalore_188,10
bangalore_196,4
bangalore_082,24
bangalore_105,9
bangalore_034,9
bangalore_009,10
bangalore_114,9
bangalore_083,4
bangalore_167,11
bangalore_121,1
bangalore_011,5
bangalore_067,32
bangalore_106,6
bangalore_042,14
bangalore_181,11
bangalore_068,7
bangalore_090,13
bangalore_111,6
bangalore_066,3
bangalore_149,2
bangalore_144,6
bangalore_033,2
bangalore_179,1
bangalore_115,1
bangalore_117,2
bangalore_136,1
bangalore_120,1
bangalore_125,3
bangalore_069,6
bangalore_079,3
bangalore_198,1
bangalore_133,1
bangalore_175,2
bangalore_145,1
bangalore_173,1
bangalore_150,1
bangalore_169,1
bangalore_017,0
bangalore_004,2
bangalore_163,2
bangalore_164,1
bangalore_194,0
bangalore_103,2
bangalore_098,1
bangalore_057,1
bangalore_127,1
bangalore_131,1
bangalore_128,1
bangalore_134,1
bangalore_008,1
bangalore_189,0
bangalore_073,1
bangalore_062,2
bangalore_141,0
bangalore_155,0
bangalore_046,0
bangalore_104,0
bangalore_080,0
bangalore_010,1
bangalore_014,1
bangalore_048,2
bangalore_172,1
bangalore_038,2
bangalore_055,2
bangalore_101,0
bangalore_032,2
bangalore_074,1
bangalore_152,13
bangalore_182,8
bangalore_137,2
copenhagen_007,17
copenhagen_006,11
copenhagen_005,18
copenhagen_008,11
copenhagen_003,6
copenhagen_002,12
copenhagen_001,17
copenhagen_009,14
copenhagen_004,16
copenhagen_010,32
berlin_012,265
berlin_004,103
berlin_011,86
berlin_006,72
berlin_010,168
berlin_003,89
berlin_007,165
berlin_002,33
berlin_005,63
berlin_001,105
berlin_008,141
berlin_009,154
amsterdam_041,3
amsterdam_039,1
amsterdam_045,9
amsterdam_046,1
amsterdam_044,2
amsterdam_061,6
amsterdam_047,4
amsterdam_055,2
amsterdam_051,2
amsterdam_052,1
amsterdam_053,1
amsterdam_021,1
amsterdam_054,2
amsterdam_022,0
amsterdam_019,1
amsterdam_020,0
amsterdam_018,1
amsterdam_031,0
amsterdam_030,0
amsterdam_029,1
amsterdam_043,4
amsterdam_042,3
amsterdam_038,1
amsterdam_034,4
amsterdam_026,2
amsterdam_033,0
amsterdam_032,15
amsterdam_024,2
amsterdam_023,3
amsterdam_025,0
amsterdam_028,0
amsterdam_027,0
amsterdam_015,2
amsterdam_017,0
amsterdam_016,1
amsterdam_014,2
amsterdam_013,0
amsterdam_012,1
amsterdam_011,31
amsterdam_089,4
amsterdam_083,4
amsterdam_084,4
amsterdam_036,2
amsterdam_037,9
amsterdam_035,2
amsterdam_040,1
amsterdam_085,2
amsterdam_006,1
amsterdam_088,4
amsterdam_078,2
amsterdam_079,1
amsterdam_090,3
amsterdam_082,0
amsterdam_081,1
amsterdam_092,1
amsterdam_087,3
amsterdam_091,43
amsterdam_086,3
amsterdam_080,0
amsterdam_069,4
amsterdam_010,2
amsterdam_009,1
amsterdam_065,1
amsterdam_067,1
amsterdam_068,2
amsterdam_070,2
amsterdam_075,2
amsterdam_076,2
amsterdam_074,4
amsterdam_066,0
amsterdam_064,1
amsterdam_077,5
amsterdam_059,1
amsterdam_058,1
amsterdam_063,1
amsterdam_050,1
amsterdam_049,1
amsterdam_057,1
amsterdam_048,2
amsterdam_008,0
amsterdam_004,0
amsterdam_005,2
amsterdam_002,2
amsterdam_001,1
amsterdam_003,0
amsterdam_007,2
amsterdam_056,2
amsterdam_060,0
amsterdam_062,4
amsterdam_093,7
amsterdam_097,6
amsterdam_094,6
amsterdam_095,6
amsterdam_099,4
amsterdam_096,3
amsterdam_098,2
amsterdam_073,0
amsterdam_072,0
amsterdam_071,1
london_031,65
london_026,93
london_016,178
london_001,56
london_025,59
london_030,33
london_011,73
london_023,56
london_003,96
london_005,238
london_008,138
paris_012,25
paris_016,25
paris_019,9
paris_018,10
paris_020,9
paris_011,6
paris_010,6
paris_003,1
paris_004,3
paris_002,1
paris_009,5
paris_001,3
paris_006,4
paris_007,4
paris_008,6
paris_017,8
paris_015,14
paris_014,9
paris_013,12
paris_005,3
london_021,59
london_029,72
london_028,46
london_022,45
london_007,4
london_032,57
london_033,35
london_006,36
london_020,20
london_013,25
london_024,57
london_027,90
london_018,91
london_009,91
london_004,73
london_002,139
london_015,79
london_017,183
london_010,131
london_014,47
london_019,24
london_012,29
montreal_13,71
montreal_27,19
montreal_2,20
montreal_5,32
montreal_17,23
montreal_7,27
montreal_33,6
montreal_3,30
montreal_28,3
montreal_4,28
montreal_24,29
montreal_34,1
montreal_22,8
montreal_25,3
montreal_29,10
montreal_15,58
montreal_1,37
montreal_19,22
montreal_11,4
montreal_14,23
montreal_6,12
montreal_18,33
montreal_9,38
montreal_16,19
montreal_10,19
montreal_12,41
montreal_8,33
montreal_32,12
montreal_31,17
montreal_20,9
montreal_21,18
montreal_26,14
montreal_23,22
montreal_30,26
vancouver_039,0
vancouver_040,1
vancouver_041,2
vancouver_042,2
vancouver_035,2
vancouver_034,1
vancouver_030,0
vancouver_106,2
vancouver_033,0
vancouver_036,0
vancouver_037,2
vancouver_038,1
vancouver_043,2
vancouver_044,1
vancouver_071,3
vancouver_047,1
vancouver_046,3
vancouver_045,0
vancouver_090,1
vancouver_073,1
vancouver_077,2
vancouver_068,1
vancouver_078,2
vancouver_066,2
vancouver_049,1
vancouver_022,2
vancouver_023,0
vancouver_029,1
vancouver_104,0
vancouver_024,0
vancouver_015,1
vancouver_014,0
vancouver_012,0
vancouver_013,0
vancouver_011,0
vancouver_018,0
vancouver_017,0
vancouver_019,0
vancouver_016,0
vancouver_020,0
vancouver_021,0
vancouver_050,1
vancouver_051,0
vancouver_052,0
vancouver_055,0
vancouver_054,2
vancouver_059,2
vancouver_056,4
vancouver_058,1
vancouver_086,2
vancouver_057,2
vancouver_085,1
vancouver_084,2
vancouver_088,1
vancouver_087,2
vancouver_114,3
vancouver_113,6
vancouver_116,5
vancouver_115,2
vancouver_112,3
vancouver_082,0
vancouver_083,2
vancouver_067,2
vancouver_111,3
vancouver_091,2
vancouver_089,2
vancouver_081,2
vancouver_092,1
vancouver_060,2
vancouver_053,1
vancouver_061,1
vancouver_063,0
vancouver_062,2
vancouver_064,1
vancouver_048,3
vancouver_097,0
vancouver_027,0
vancouver_026,1
vancouver_025,0
vancouver_065,1
vancouver_079,1
vancouver_080,2
vancouver_076,1
vancouver_075,1
vancouver_074,1
vancouver_093,0
vancouver_107,2
vancouver_108,3
vancouver_031,1
vancouver_103,1
vancouver_094,0
vancouver_096,2
vancouver_101,2
vancouver_032,1
vancouver_003,4
vancouver_002,3
vancouver_004,1
vancouver_105,1
vancouver_005,0
vancouver_007,2
vancouver_006,0
vancouver_109,3
vancouver_009,3
vancouver_008,2
vancouver_117,2
vancouver_110,3
vancouver_118,1
vancouver_010,3
vancouver_001,2
vancouver_102,1
vancouver_100,1
vancouver_028,0
vancouver_098,1
vancouver_099,2
vancouver_095,2
vancouver_072,2
vancouver_070,2
vancouver_069,2
tokyo_011,63
tokyo_009,28
tokyo_008,42
tokyo_023,59
tokyo_022,42
tokyo_021,65
tokyo_007,17
tokyo_002,11
tokyo_006,13
tokyo_003,24
tokyo_010,18
tokyo_013,19
tokyo_001,12
tokyo_005,15
tokyo_004,25
tokyo_016,14
tokyo_014,20
tokyo_017,25
tokyo_018,13
tokyo_019,39
tokyo_020,61
tokyo_015,40
tokyo_012,73
melbourne_83,7
melbourne_84,1
melbourne_85,4
melbourne_81,7
melbourne_82,9
melbourne_56,9
melbourne_54,20
melbourne_57,6
melbourne_53,9
melbourne_58,11
melbourne_61,8
melbourne_60,9
melbourne_63,6
melbourne_59,5
melbourne_42,3
melbourne_46,9
melbourne_62,6
melbourne_45,7
melbourne_64,5
melbourne_43,9
melbourne_44,9
melbourne_51,7
melbourne_49,15
melbourne_50,5
melbourne_48,5
melbourne_93,8
melbourne_92,7
melbourne_31,3
melbourne_34,6
melbourne_47,7
melbourne_40,8
melbourne_35,2
melbourne_33,2
melbourne_15,3
melbourne_22,6
melbourne_21,2
melbourne_24,7
melbourne_28,2
melbourne_18,2
melbourne_38,2
melbourne_13,3
melbourne_20,6
melbourne_37,2
melbourne_41,4
melbourne_39,3
melbourne_36,2
melbourne_1,5
melbourne_2,4
melbourne_7,7
melbourne_6,4
melbourne_8,7
melbourne_4,9
melbourne_52,10
melbourne_55,8
melbourne_5,2
melbourne_10,10
melbourne_12,7
melbourne_9,4
melbourne_3,5
melbourne_11,2
melbourne_17,2
melbourne_16,2
melbourne_23,7
melbourne_19,4
melbourne_14,3
melbourne_27,9
melbourne_26,4
melbourne_29,3
melbourne_32,4
melbourne_30,2
melbourne_73,10
melbourne_75,4
melbourne_25,2
melbourne_66,5
melbourne_74,5
melbourne_67,7
melbourne_78,4
melbourne_71,8
melbourne_80,5
melbourne_89,16
melbourne_72,6
melbourne_77,4
melbourne_76,2
melbourne_79,6
melbourne_86,11
melbourne_68,6
melbourne_65,5
melbourne_88,6
melbourne_91,9
melbourne_90,5
melbourne_87,3
melbourne_70,4
melbourne_69,4
losangeles_001,131
losangeles_002,92
losangeles_006,32
losangeles_007,91
losangeles_005,43
losangeles_003,120
losangeles_004,34
losangeles_009,150
losangeles_008,81
losangeles_022,87
losangeles_020,34
losangeles_019,42
losangeles_018,18
losangeles_011,34
losangeles_13,9
losangeles_012,36
losangeles_010,51
losangeles_014,35
losangeles_015,58
losangeles_016,48
losangeles_017,17
losangeles_021,31
mexico_014,340
mexico_005,73
mexico_001,103
mexico_010,67
mexico_004,57
mexico_016,118
mexico_009,122
mexico_013,92
mexico_012,316
mexico_007,95
mexico_002,34
mexico_011,49
mexico_006,36
mexico_015,36
mexico_008,24
mexico_003,28
chicago_30,16
chicago_59,12
chicago_73,10
chicago_61,16
chicago_45,13
chicago_46,10
chicago_67,11
chicago_9,12
chicago_3,15
chicago_4,11
chicago_14,12
chicago_12,2
chicago_58,8
chicago_13,4
chicago_63,42
chicago_20,10
chicago_62,13
chicago_65,10
chicago_76,8
chicago_6,4
chicago_29,11
chicago_33,3
chicago_68,5
chicago_36,5
chicago_28,9
chicago_47,10
chicago_41,6
chicago_48,8
chicago_17,5
chicago_55,2
chicago_2,4
chicago_10,6
chicago_50,16
chicago_25,3
chicago_43,3
chicago_42,11
chicago_49,19
chicago_75,16
chicago_19,6
chicago_32,13
chicago_52,12
chicago_64,16
chicago_11,8
chicago_26,8
chicago_15,16
chicago_70,8
chicago_23,14
chicago_72,11
chicago_16,11
chicago_27,15
chicago_69,4
chicago_1,7
chicago_71,4
chicago_5,30
chicago_56,47
chicago_22,3
chicago_54,13
chicago_24,13
chicago_35,7
chicago_18,13
chicago_44,4
chicago_8,18
chicago_57,12
chicago_84,9
chicago_34,12
chicago_53,7
chicago_31,2
chicago_7,5
chicago_40,13
chicago_39,8
chicago_74,14
chicago_60,7
chicago_21,5
chicago_66,11
chicago_51,6
chicago_37,10
chicago_38,10
detroit_047,2
detroit_046,0
detroit_249,6
detroit_059,3
detroit_045,0
detroit_044,2
detroit_234,3
detroit_048,2
detroit_042,1
detroit_040,2
detroit_049,3
detroit_175,2
detroit_222,1
detroit_177,3
detroit_176,3
detroit_153,2
detroit_174,1
detroit_251,2
detroit_173,2
detroit_160,2
detroit_161,3
detroit_233,1
detroit_206,2
detroit_162,1
detroit_158,1
detroit_164,0
detroit_165,2
detroit_166,2
detroit_258,2
detroit_167,1
detroit_169,1
detroit_171,2
detroit_172,2
detroit_170,1
detroit_242,1
detroit_039,2
detroit_168,1
detroit_178,2
detroit_038,1
detroit_037,1
detroit_179,2
detroit_180,1
detroit_033,2
detroit_032,1
detroit_036,1
detroit_043,2
detroit_041,3
detroit_035,0
detroit_060,1
detroit_064,2
detroit_063,2
detroit_061,1
detroit_154,1
detroit_058,1
detroit_062,2
detroit_257,2
detroit_052,3
detroit_053,3
detroit_057,0
detroit_054,0
detroit_051,3
detroit_050,2
detroit_034,0
detroit_275,3
detroit_290,2
detroit_294,0
detroit_276,1
detroit_232,1
detroit_273,2
detroit_256,2
detroit_277,0
detroit_246,1
detroit_224,2
detroit_270,0
detroit_274,2
detroit_289,2
detroit_269,2
detroit_283,2
detroit_288,2
detroit_284,1
detroit_285,1
detroit_287,2
detroit_291,2
detroit_293,2
detroit_292,2
detroit_163,3
detroit_286,2
detroit_279,1
detroit_156,2
detroit_157,0
detroit_278,2
detroit_280,2
detroit_155,1
detroit_115,1
detroit_297,4
detroit_114,2
detroit_116,3
detroit_281,2
detroit_282,1
detroit_250,0
detroit_238,1
detroit_124,1
detroit_118,1
detroit_123,1
detroit_184,1
detroit_197,1
detroit_271,2
detroit_272,1
detroit_239,0
detroit_152,1
detroit_196,1
detroit_194,1
detroit_119,2
detroit_027,2
detroit_195,0
detroit_098,2
detroit_099,1
detroit_193,1
detroit_014,2
detroit_122,0
detroit_120,1
detroit_121,2
detroit_231,1
detroit_185,1
detroit_189,0
detroit_191,2
detroit_188,1
detroit_192,1
detroit_100,1
detroit_144,1
detroit_095,1
detroit_148,3
detroit_031,1
detroit_229,2
detroit_066,2
detroit_028,1
detroit_187,1
detroit_254,1
detroit_186,1
detroit_253,1
detroit_142,2
detroit_030,4
detroit_259,1
detroit_105,2
detroit_107,2
detroit_092,2
detroit_109,2
detroit_108,2
detroit_016,2
detroit_237,1
detroit_093,0
detroit_009,2
detroit_094,2
detroit_262,3
detroit_106,1
detroit_295,2
detroit_296,1
detroit_159,2
detroit_263,2
detroit_083,0
detroit_084,2
detroit_081,1
detroit_080,1
detroit_068,0
detroit_247,2
detroit_079,4
detroit_071,1
detroit_070,3
detroit_004,1
detroit_082,1
detroit_078,5
detroit_006,8
detroit_085,4
detroit_086,3
detroit_007,2
detroit_087,1
detroit_091,3
detroit_088,0
detroit_089,1
detroit_090,0
detroit_110,2
detroit_111,0
detroit_140,3
detroit_141,2
detroit_205,1
detroit_026,1
detroit_213,1
detroit_214,1
detroit_228,0
detroit_227,2
detroit_240,1
detroit_012,1
detroit_001,1
detroit_204,2
detroit_002,3
detroit_202,3
detroit_200,1
detroit_212,1
detroit_210,1
detroit_211,2
detroit_024,1
detroit_236,1
detroit_008,2
detroit_010,2
detroit_011,1
detroit_221,1
detroit_198,1
detroit_260,1
detroit_203,2
detroit_199,1
detroit_065,1
detroit_025,2
detroit_245,1
detroit_020,2
detroit_241,1
detroit_029,8
detroit_023,3
detroit_021,1
detroit_022,1
detroit_019,1
detroit_268,2
detroit_209,2
detroit_018,2
detroit_005,3
detroit_077,1
detroit_076,1
detroit_072,2
detroit_075,1
detroit_015,2
detroit_143,1
detroit_074,2
detroit_243,0
detroit_073,0
detroit_136,3
detroit_137,1
detroit_138,2
