nbhd_code,DEM_all
Johannesburg_40,1661.329004
Johannesburg_82,1692.393055
Johannesburg_86,1714.738983
Johannesburg_88,1656.004979
Johannesburg_89,1635.242875
Johannesburg_85,1734.832836
Johannesburg_126,1603.236617
Johannesburg_98,1558.338349
Johannesburg_99,1611.374145
Johannesburg_117,1620.78342
Johannesburg_102,1554.90281
Johannesburg_90,1588.863255
Johannesburg_87,1660.727578
Johannesburg_69,1733.003144
Johannesburg_60,1739.362079
Johannesburg_67,1755.640045
Johannesburg_59,1755.880004
Johannesburg_123,1741.360953
Johannesburg_63,1795.912812
Johannesburg_62,1780.818179
Johannesburg_64,1787.455528
Johannesburg_66,1730.695178
Johannesburg_73,1676.716987
Johannesburg_74,1637.485977
Johannesburg_91,1600.76552
Johannesburg_103,1533.259383
Johannesburg_108,1577.554741
Johannesburg_107,1576.794709
Johannesburg_81,1575.593418
Johannesburg_75,1599.506686
Johannesburg_76,1553.952042
Johannesburg_116,1526.717412
Johannesburg_105,1532.851368
Johannesburg_72,1642.500061
Johannesburg_118,1689.91337
Johannesburg_65,1711.415904
Johannesburg_57,1688.467033
Johannesburg_61,1725.93846
Johannesburg_56,1742.373505
Johannesburg_32,1567.257018
Johannesburg_77,1535.57709
Johannesburg_78,1555.990882
Johannesburg_111,1553.534197
Johannesburg_79,1581.620873
Johannesburg_110,1554.262032
Johannesburg_80,1613.702528
Johannesburg_93,1454.003101
Johannesburg_112,1505.223221
Johannesburg_92,1561.21935
Johannesburg_94,1441.187031
Johannesburg_113,1407.113108
Johannesburg_96,1375.244752
Johannesburg_106,1493.935656
Johannesburg_109,1547.173887
Johannesburg_115,1452.382494
Johannesburg_104,1501.15464
Johannesburg_101,1525.273339
Johannesburg_97,1558.421562
Johannesburg_114,1553.015921
Johannesburg_100,1472.372909
Johannesburg_95,1427.057723
Johannesburg_71,1729.009375
Johannesburg_83,1682.250795
Johannesburg_127,1717.576715
Johannesburg_84,1738.856153
Johannesburg_41,1682.733428
Johannesburg_43,1697.414724
Johannesburg_42,1665.722934
Johannesburg_38,1611.76706
Johannesburg_45,1648.66711
Johannesburg_36,1617.850751
Johannesburg_47,1652.084285
Johannesburg_44,1689.811166
Johannesburg_49,1678.894392
Johannesburg_129,1638.177652
Johannesburg_48,1653.344095
Johannesburg_46,1654.115507
Johannesburg_34,1642.570489
Johannesburg_51,1640.006872
Johannesburg_52,1629.845475
Johannesburg_128,1679.365824
Johannesburg_53,1629.457642
Johannesburg_50,1638.079125
Johannesburg_130,1608.752072
Johannesburg_20,1624.055737
Johannesburg_14,1590.473613
Johannesburg_13,1585.385518
Johannesburg_10,1571.46711
Johannesburg_9,1567.389639
Johannesburg_8,1603.962634
Johannesburg_11,1581.660423
Johannesburg_12,1593.878896
Johannesburg_19,1589.471479
Johannesburg_16,1611.003386
Johannesburg_15,1628.934534
Johannesburg_21,1625.783875
Johannesburg_33,1612.477059
Johannesburg_35,1628.035056
Johannesburg_37,1594.850829
Johannesburg_22,1612.550414
Johannesburg_17,1570.084527
Johannesburg_120,1647.02801
Johannesburg_121,1651.346143
Johannesburg_7,1642.860477
Johannesburg_4,1611.905
Johannesburg_5,1575.162658
jakarta_005,4.235084218
jakarta_001,9.154160163
jakarta_021,5.210632277
jakarta_018,6.659143061
jakarta_008,18.0509221
jakarta_023,26.58928622
jakarta_006,48.89468851
