nbhd_code,ndbi_all
Johannesburg_25,NA
Johannesburg_30,NA
Johannesburg_31,NA
Johannesburg_70,-0.080286793
Johannesburg_39,NA
Johannesburg_40,NA
Johannesburg_82,NA
Johannesburg_86,NA
Johannesburg_88,NA
Johannesburg_89,NA
Johannesburg_85,-0.136930735
Johannesburg_126,NA
Johannesburg_98,NA
Johannesburg_99,NA
Johannesburg_117,NA
Johannesburg_102,NA
Johannesburg_90,NA
Johannesburg_87,NA
Johannesburg_69,NA
Johannesburg_60,NA
Johannesburg_67,NA
Johannesburg_59,NA
Johannesburg_123,NA
Johannesburg_63,NA
Johannesburg_62,NA
Johannesburg_64,NA
Johannesburg_66,NA
Johannesburg_73,NA
Johannesburg_74,NA
Johannesburg_91,NA
Johannesburg_103,NA
Johannesburg_108,NA
Johannesburg_107,NA
Johannesburg_81,NA
Johannesburg_75,NA
Johannesburg_76,NA
Johannesburg_116,NA
Johannesburg_105,NA
Johannesburg_72,NA
Johannesburg_118,NA
Johannesburg_65,NA
Johannesburg_57,NA
Johannesburg_61,NA
Johannesburg_56,NA
Johannesburg_32,NA
Johannesburg_77,NA
Johannesburg_78,NA
Johannesburg_111,NA
Johannesburg_79,NA
Johannesburg_110,NA
Johannesburg_80,NA
Johannesburg_93,NA
Johannesburg_112,NA
Johannesburg_92,NA
Johannesburg_94,NA
Johannesburg_113,NA
Johannesburg_96,0.018719395
Johannesburg_106,NA
Johannesburg_109,NA
Johannesburg_115,NA
Johannesburg_104,NA
Johannesburg_101,NA
Johannesburg_97,-0.110247889
Johannesburg_114,-0.109823091
Johannesburg_100,-0.080507042
Johannesburg_95,NA
Johannesburg_71,-0.11233836
Johannesburg_83,-0.141911392
Johannesburg_127,-0.067395337
Johannesburg_84,-0.115510035
Johannesburg_41,NA
Johannesburg_43,-0.003204823
Johannesburg_42,-0.112566429
Johannesburg_38,NA
Johannesburg_45,0.022546314
Johannesburg_36,-0.056148633
Johannesburg_47,-0.00490875
Johannesburg_44,0.017519034
Johannesburg_49,0.044723495
Johannesburg_129,0.015886041
Johannesburg_48,0.005247436
Johannesburg_46,-0.009325069
Johannesburg_34,-0.030575442
Johannesburg_51,0.035042832
Johannesburg_52,0.040729602
Johannesburg_128,0.015751367
Johannesburg_53,0.029661938
Johannesburg_50,0.038027944
Johannesburg_130,0.024026623
Johannesburg_20,0.026876756
Johannesburg_14,-0.022003925
Johannesburg_13,0.051618438
Johannesburg_10,-0.019100458
Johannesburg_9,0.014929591
Johannesburg_8,0.000507
Johannesburg_11,0.042444608
Johannesburg_12,0.041992878
Johannesburg_19,0.084230193
Johannesburg_16,-0.007641763
Johannesburg_15,0.032638594
Johannesburg_21,0.004377382
Johannesburg_33,-0.024870815
Johannesburg_35,0.00266789
Johannesburg_37,0.045881863
Johannesburg_22,NA
Johannesburg_17,NA
Johannesburg_120,0.001705741
Johannesburg_121,0.017163621
Johannesburg_7,-0.045554158
Johannesburg_4,NA
Johannesburg_5,0.001910984
jakarta_005,-0.118388366
jakarta_001,-0.114132202
jakarta_021,-0.010561755
jakarta_018,-0.083646627
jakarta_008,-0.060305806
jakarta_023,-0.117316565
jakarta_006,-0.140333201
jakarta_011,-0.09539634
jakarta_031,-0.054165145
jakarta_007,-0.074261434
jakarta_022,-0.047876006
jakarta_030,-0.081545237
jakarta_004,-0.0985361
jakarta_016,-0.067542641
jakarta_033,-0.090790227
jakarta_020,-0.097226287
jakarta_017,-0.058255056
jakarta_015,-0.076323609
jakarta_040,-0.063964294
jakarta_037,-0.110623831
jakarta_024,-0.031556859
jakarta_029,-0.057338541
jakarta_012,-0.048402634
jakarta_042,-0.067884784
jakarta_026,-0.075445175
jakarta_009,-0.038870316
jakarta_036,-0.07150409
jakarta_013,-0.044637884
jakarta_002,-0.065895901
jakarta_025,-0.081681354
jakarta_034,-0.068348956
jakarta_019,-0.042459441
jakarta_041,-0.032321758
jakarta_027,-0.044165241
jakarta_035,-0.010668956
jakarta_038,0.023006126
jakarta_039,0.022003
jakarta_010,-0.025134478
jakarta_032,-0.070247101
jakarta_003,-0.075297204
jakarta_028,-0.028066184
jakarta_014,-0.106789252
bangkok_017,-0.149699426
bangkok_039,-0.180665452
bangkok_004,-0.185753433
bangkok_024,-0.163090225
bangkok_044,-0.184323029
bangkok_045,-0.180713085
bangkok_029,-0.146214199
bangkok_003,-0.145356228
bangkok_031,-0.120486339
bangkok_015,-0.127143382
bangkok_001,-0.142961039
bangkok_012,-0.072029368
bangkok_046,-0.041544801
bangkok_037,-0.107013697
bangkok_005,-0.061729054
bangkok_022,-0.065327937
bangkok_050,-0.077434536
bangkok_042,-0.048098981
bangkok_009,-0.064104663
bangkok_030,-0.097800651
bangkok_040,-0.072414859
bangkok_034,-0.046723856
bangkok_011,-0.093122971
bangkok_035,0.014185039
bangkok_038,-0.066243705
bangkok_018,-0.103784464
bangkok_032,-0.103262367
bangkok_008,-0.113715122
bangkok_010,-0.116130762
bangkok_014,-0.15895323
bangkok_016,-0.077886761
bangkok_019,-0.12634234
bangkok_026,-0.179803813
bangkok_002,-0.117532435
bangkok_049,-0.098808568
bangkok_043,-0.124085052
bangkok_048,-0.09593579
bangkok_023,-0.065482285
bangkok_033,-0.091423716
bangkok_007,-0.09018609
bangkok_047,-0.169095614
bangkok_006,-0.238756016
hochiminh_001,-0.100848305
hochiminh_007,-0.096714239
hochiminh_004,-0.118777218
bangkok_036,-0.154542054
bangkok_025,-0.201602859
bangkok_041,-0.156404387
bangkok_013,-0.155736812
bangkok_020,-0.181699553
bangkok_021,-0.231707841
bangkok_027,-0.203043823
bangkok_028,-0.254533084
hochiminh_012,-0.085521212
hochiminh_024,-0.066260613
hochiminh_021,-0.188230395
hochiminh_005,-0.438530914
hochiminh_014,-0.142115232
hochiminh_019,-0.116811044
hochiminh_008,-0.212785402
hochiminh_002,-0.064731713
hochiminh_006,-0.019659475
hochiminh_013,-0.008278185
hochiminh_009,0.019936868
hochiminh_015,0.028953401
hochiminh_022,0.028085992
hochiminh_023,0.018528788
hochiminh_003,-0.039749638
hochiminh_018,0.035386492
hochiminh_020,-0.042706314
hochiminh_017,0.030343036
hochiminh_011,0.035283802
hochiminh_010,0.021227353
hochiminh_016,0.028440753
singapore_034,-0.045107245
singapore_032,-0.079278869
singapore_009,-0.028164743
singapore_010,-0.049275668
singapore_008,-0.102964322
singapore_014,-0.084586433
singapore_012,-0.178324871
singapore_033,-0.161412657
singapore_015,-0.272774869
singapore_019,-0.117585698
singapore_038,-0.154102732
singapore_031,-0.130453107
singapore_027,-0.172127238
singapore_055,-0.140650472
singapore_043,-0.222251443
singapore_048,-0.09899863
singapore_013,-0.143876791
singapore_023,-0.158404687
singapore_037,-0.102248681
singapore_017,-0.094402873
singapore_002,-0.154022683
singapore_021,-0.112814234
singapore_007,-0.088807779
singapore_036,-0.09684677
singapore_018,-0.181495703
singapore_030,-0.109248363
singapore_022,-0.119839643
singapore_001,-0.101175431
singapore_020,-0.099090451
singapore_050,-0.098962913
singapore_051,-0.067550362
singapore_049,-0.099643908
singapore_047,-0.099890278
singapore_029,-0.084454755
singapore_052,-0.122160414
singapore_045,-0.107944939
singapore_054,-0.131609237
singapore_004,-0.098690544
singapore_046,-0.094345263
singapore_024,-0.092636464
singapore_003,-0.092514892
singapore_011,-0.143672127
singapore_005,-0.087095661
singapore_042,-0.175735273
singapore_028,-0.154036707
singapore_040,-0.146132949
singapore_016,-0.171593337
singapore_044,-0.122337263
singapore_039,-0.13636159
singapore_053,-0.089378915
singapore_025,-0.11862048
singapore_035,-0.138458468
singapore_006,-0.094295742
singapore_041,-0.140811178
singapore_026,-0.16094685
manila_014,-0.114837196
manila_001,-0.103112273
manila_017,-0.114044075
manila_009,-0.128049293
manila_004,-0.107468852
manila_006,-0.020001711
manila_015,-0.041246322
manila_007,-0.130381894
manila_012,-0.074573813
manila_005,-0.056681106
manila_016,-0.096772165
manila_003,-0.063414896
manila_013,-0.039231714
manila_011,-0.033592659
manila_010,-0.069614717
manila_002,-0.081934583
manila_008,-0.107755705
seoul_005,-0.135152039
seoul_008,-0.061297654
seoul_009,-0.053363504
seoul_010,-0.079788918
seoul_014,-0.137018234
seoul_025,-0.138303143
seoul_013,-0.112260052
seoul_012,-0.107235899
seoul_023,-0.123516177
seoul_011,-0.086912755
seoul_007,-0.060384369
seoul_006,-0.075352126
seoul_004,-0.124455387
seoul_003,-0.106507463
seoul_024,-0.074907589
seoul_018,-0.091323248
seoul_022,-0.09855403
seoul_020,-0.055759913
seoul_002,-0.094869556
seoul_021,-0.156696292
seoul_001,-0.088372208
seoul_015,-0.119604382
seoul_016,-0.102657463
seoul_019,-0.101378908
seoul_017,-0.112131539
beijing_005,-0.101507986
beijing_009,-0.103863142
beijing_003,-0.046825023
beijing_006,-0.044940943
beijing_012,-0.090045008
beijing_007,-0.083876612
beijing_004,-0.087992971
beijing_015,-0.080661583
beijing_002,-0.055936563
beijing_001,-0.062450014
beijing_016,-0.105694152
beijing_008,-0.093181745
beijing_013,-0.056849774
beijing_014,-0.066869844
beijing_010,-0.067396999
beijing_011,-0.047329969
delhi_001,-0.041109484
delhi_009,-0.045688933
delhi_005,-0.108823221
delhi_008,-0.023755854
delhi_006,-0.05618271
delhi_004,-0.042202489
delhi_003,-0.022335579
delhi_002,-0.068583964
delhi_007,-0.025944035
bangalore_184,-0.107697422
bangalore_059,-0.10051703
bangalore_096,-0.081153593
bangalore_077,-0.057139641
bangalore_016,-0.055856016
bangalore_093,-0.076199073
bangalore_153,-0.07692927
bangalore_072,-0.040366816
bangalore_012,-0.061074666
bangalore_040,-0.076618135
bangalore_053,-0.072488417
bangalore_190,-0.070747884
bangalore_001,-0.018070276
bangalore_191,-0.052583385
bangalore_020,-0.074458074
bangalore_028,-0.077689586
bangalore_138,-0.067652466
bangalore_060,-0.033611466
bangalore_044,-0.074989909
bangalore_126,-0.080209791
bangalore_019,-0.095814383
bangalore_171,-0.074828047
bangalore_123,-0.035420011
bangalore_076,-0.072363521
bangalore_003,-0.1255761
bangalore_109,-0.062889381
bangalore_089,-0.057562449
bangalore_045,-0.057612196
