nbhd_code,Albedo_all
Johannesburg_40,0.144510186
Johannesburg_82,0.139613933
Johannesburg_86,0.131938867
Johannesburg_88,0.126621683
Johannesburg_89,0.132699332
Johannesburg_85,0.131804591
Johannesburg_126,0.131898203
Johannesburg_98,0.127498797
Johannesburg_99,0.123574041
Johannesburg_117,0.122013823
Johannesburg_102,0.12648799
Johannesburg_90,0.123594227
Johannesburg_87,0.120617823
Johannesburg_69,0.131162174
Johannesburg_60,0.120390033
Johannesburg_67,0.120338807
Johannesburg_59,0.114750732
Johannesburg_123,0.1202866
Johannesburg_63,0.113853659
Johannesburg_62,0.119912195
Johannesburg_64,0.118905919
Johannesburg_66,0.125220254
Johannesburg_73,0.125260354
Johannesburg_74,0.124779828
Johannesburg_91,0.128138406
Johannesburg_103,0.127638086
Johannesburg_108,0.136453477
Johannesburg_107,0.135282213
Johannesburg_81,0.128316065
Johannesburg_75,0.135672752
Johannesburg_76,0.136376516
Johannesburg_116,0.136758252
Johannesburg_105,0.148145834
Johannesburg_72,0.129875563
Johannesburg_118,0.128739897
Johannesburg_65,0.138351091
Johannesburg_57,0.135959374
Johannesburg_61,0.129317781
Johannesburg_56,0.129531068
Johannesburg_32,0.135608714
Johannesburg_77,0.148949972
Johannesburg_78,0.152052885
Johannesburg_111,0.152409778
Johannesburg_79,0.152176522
Johannesburg_110,0.138928904
Johannesburg_80,0.151248778
Johannesburg_93,0.144994456
Johannesburg_112,0.143810438
Johannesburg_92,0.14557664
Johannesburg_94,0.145962212
Johannesburg_113,0.145984027
Johannesburg_96,0.144716088
Johannesburg_106,0.132275669
Johannesburg_109,0.130456952
Johannesburg_115,0.134505472
Johannesburg_104,0.12718612
Johannesburg_101,0.130802653
Johannesburg_97,0.141448157
Johannesburg_114,0.142333699
Johannesburg_100,0.151651501
Johannesburg_95,0.149089625
Johannesburg_71,0.136660009
Johannesburg_83,0.130352351
Johannesburg_127,0.13512496
Johannesburg_84,0.134162796
Johannesburg_41,0.145992527
Johannesburg_43,0.14867003
Johannesburg_42,0.146199504
Johannesburg_38,0.137321235
Johannesburg_45,0.147902269
Johannesburg_36,0.140020422
Johannesburg_47,0.144886196
Johannesburg_44,0.153565623
Johannesburg_49,0.156392919
Johannesburg_129,0.146798677
Johannesburg_48,0.147665309
Johannesburg_46,0.144735043
Johannesburg_34,0.141399372
Johannesburg_51,0.145785068
Johannesburg_52,0.147336504
Johannesburg_128,0.151755957
Johannesburg_53,0.137816137
Johannesburg_50,0.146262105
Johannesburg_130,0.143039434
Johannesburg_20,0.144856296
Johannesburg_14,0.140900356
Johannesburg_13,0.145158286
Johannesburg_10,0.129398008
Johannesburg_9,0.134212432
Johannesburg_8,0.136257095
Johannesburg_11,0.139596918
Johannesburg_12,0.14146471
Johannesburg_19,0.138033877
Johannesburg_16,0.142767507
Johannesburg_15,0.143509975
Johannesburg_21,0.143232671
Johannesburg_33,0.14244806
Johannesburg_35,0.141603242
Johannesburg_37,0.13794108
Johannesburg_22,0.140477673
Johannesburg_17,0.1393795
Johannesburg_120,0.138156076
Johannesburg_121,0.139939959
Johannesburg_7,0.143893581
Johannesburg_4,0.150499606
Johannesburg_5,0.140799809
jakarta_005,0.097202331
jakarta_001,0.124274965
jakarta_021,0.121470489
jakarta_018,NA
jakarta_008,0.115889194
jakarta_023,0.108587065
jakarta_006,0.105475488
jakarta_011,0.115924309
jakarta_031,0.123
jakarta_007,0.106561005
jakarta_022,0.108
jakarta_030,0.111
jakarta_004,0.112145617
jakarta_016,0.122
jakarta_033,NA
jakarta_020,NA
jakarta_017,NA
jakarta_015,0.09
jakarta_040,0.108
jakarta_037,NA
jakarta_024,0.09
jakarta_029,NA
jakarta_012,NA
jakarta_042,0.112
jakarta_026,NA
jakarta_009,0.108
jakarta_036,NA
jakarta_013,NA
jakarta_002,NA
jakarta_025,NA
jakarta_034,NA
jakarta_019,NA
jakarta_041,0.099536232
jakarta_027,0.073324954
jakarta_035,NA
jakarta_038,NA
jakarta_039,NA
jakarta_010,NA
jakarta_032,0.085545193
jakarta_003,NA
jakarta_028,NA
jakarta_014,0.126
bangkok_017,0.134286753
bangkok_039,0.135182111
bangkok_004,0.130880206
bangkok_024,0.129643978
bangkok_044,0.132740778
bangkok_045,0.133852753
bangkok_029,0.134584451
bangkok_003,0.128669027
bangkok_031,0.128200836
bangkok_015,0.127678043
bangkok_001,0.134385243
bangkok_012,0.118379546
bangkok_046,0.1152201
bangkok_037,0.113556379
bangkok_005,0.103362021
bangkok_022,0.101734884
bangkok_050,0.11576687
bangkok_042,0.111373214
bangkok_009,0.099787994
bangkok_030,0.116189163
bangkok_040,0.098577465
bangkok_034,0.111452684
bangkok_011,0.120972019
bangkok_035,0.103094718
bangkok_038,0.11748861
bangkok_018,0.114385042
bangkok_032,0.114960298
bangkok_008,0.118610894
bangkok_010,0.122963514
bangkok_014,0.12496939
bangkok_016,0.122388495
bangkok_019,0.12879916
bangkok_026,0.131882758
bangkok_002,0.129144838
bangkok_049,0.12429069
bangkok_043,0.12575958
bangkok_048,0.119251713
bangkok_023,0.111937172
bangkok_033,0.125585647
bangkok_007,0.125987823
bangkok_047,0.120488502
bangkok_006,0.09291952
hochiminh_001,0.12945641
hochiminh_007,0.134967459
hochiminh_004,0.138572797
bangkok_036,0.126298099
bangkok_025,0.129219484
bangkok_041,0.130986145
bangkok_013,0.130851655
bangkok_020,0.133357296
bangkok_021,0.134040185
bangkok_027,0.131943911
bangkok_028,0.133171464
hochiminh_012,0.133347989
hochiminh_024,0.12664334
hochiminh_021,0.124631408
hochiminh_005,0.095624098
hochiminh_014,0.118465317
hochiminh_019,0.117627784
hochiminh_008,0.102421903
hochiminh_002,0.113782629
hochiminh_006,0.137497542
hochiminh_013,0.125491364
hochiminh_009,0.139451049
hochiminh_015,0.135563611
hochiminh_022,0.143569738
hochiminh_023,0.138660641
hochiminh_003,0.136962576
hochiminh_018,0.151104605
hochiminh_020,0.124744327
hochiminh_017,0.129
hochiminh_011,0.135861127
hochiminh_010,0.137643192
hochiminh_016,0.123031839
singapore_034,0.065413241
singapore_032,0.089619172
singapore_009,0.144316
singapore_010,NA
singapore_008,0.125472507
singapore_014,0.144198949
singapore_012,0.124242803
singapore_033,0.108895286
singapore_015,0.141359376
singapore_019,0.128896476
singapore_038,0.131685252
singapore_031,0.135781095
singapore_027,0.125190964
singapore_055,0.133598728
singapore_043,0.108273684
singapore_048,0.125473376
singapore_013,0.138411687
singapore_023,0.1214864
singapore_037,0.109720604
singapore_017,0.152138535
singapore_002,0.136517673
singapore_021,0.136258697
singapore_007,0.109460104
singapore_036,0.126615196
singapore_018,0.088867062
singapore_030,0.136404723
singapore_022,0.144137398
singapore_001,0.132041293
singapore_020,0.155597315
singapore_050,NA
singapore_051,0.144188
singapore_049,NA
singapore_047,0.125748092
singapore_029,0.144
singapore_052,0.108365397
singapore_045,0.080752029
singapore_054,0.07634051
singapore_004,0.074694561
singapore_046,NA
singapore_024,NA
singapore_003,NA
singapore_011,0.113191604
singapore_005,0.030759259
singapore_042,0.079874095
singapore_028,NA
singapore_040,NA
singapore_016,NA
singapore_044,NA
singapore_039,NA
singapore_053,NA
singapore_025,0.103933541
singapore_035,0.139958569
singapore_006,0.129833789
singapore_041,0.059007102
singapore_026,0.096114531
manila_014,0.108431777
manila_001,0.111744739
manila_017,0.111972609
