"nbhd_code","Albedo_2007"
"casablanca_025",0.160813972829787
"casablanca_011",0.15903736821066
"casablanca_012",0.163473499471846
"casablanca_031",0.167038547646048
"casablanca_019",0.169152227146298
"casablanca_016",0.15882922303253
"casablanca_002",0.166141674867502
"casablanca_014",0.145289181367622
"casablanca_022",0.135170204096262
"casablanca_005",0.137959488597152
"casablanca_015",0.153149737950645
"casablanca_021",0.150862462536437
"casablanca_026",0.167802771886414
"casablanca_027",0.167677328254302
"casablanca_009",0.155168643418204
"casablanca_010",0.142519116095401
"casablanca_006",0.14443402024302
"casablanca_033",0.155324073456577
"casablanca_008",0.127338809913406
"casablanca_023",0.162788621896507
"casablanca_018",0.16864309599572
"casablanca_032",0.168038463193401
"casablanca_030",0.164538396178553
"casablanca_034",0.168419453416149
"casablanca_001",0.162818723074779
"casablanca_013",0.164529449488772
"casablanca_003",0.159618519965369
"casablanca_029",0.159012602179837
"casablanca_004",0.140768746199839
"casablanca_017",0.146942316504144
"casablanca_028",0.122310457459854
"casablanca_020",0.134108816779294
"casablanca_024",0.109195288149924
"casablanca_007",0.131531686003391
"barcelona_22",0.0970961924884531
"barcelona_39",0.108206652142338
"barcelona_40",0.104445593386577
"barcelona_43",0.11526275601896
"barcelona_28",0.12389081102285
"barcelona_41",0.133278053259871
"barcelona_38",0.134011787439614
"barcelona_29",0.135058781362007
"barcelona_25",0.127150286177047
"barcelona_27",0.135844543120072
"barcelona_26",0.131575692650774
"barcelona_24",0.133043398268398
"barcelona_23",0.128808227072603
"barcelona_21",0.132570636489115
"barcelona_20",0.142567828800108
"barcelona_19",0.135753703920726
"barcelona_18",0.140169272835291
"barcelona_8",0.133863771075926
"barcelona_9",0.136164822199695
"barcelona_15",0.13963505958147
"barcelona_14",0.13738182165988
"barcelona_16",0.140431389978407
"barcelona_17",0.141820817273669
"barcelona_13",0.147845357677214
"barcelona_11",0.126269143845118
"barcelona_12",0.126819572714909
"barcelona_1",0.120553318532808
"barcelona_2",0.116715224685013
"barcelona_3",0.0888280683236863
"barcelona_10",0.124641698491549
"barcelona_7",0.132058884776043
"barcelona_31",0.136237137308453
"barcelona_30",0.136549307015736
"barcelona_37",0.136836029053639
"barcelona_32",0.137064601208905
"barcelona_34",0.131713210227273
"barcelona_36",0.141358708769107
"barcelona_33",0.134806559234831
"barcelona_6",0.132494884513035
"barcelona_35",0.137538331938404
"barcelona_64",0.135297930781908
"barcelona_63",0.138037968675842
"barcelona_62",0.138450914255281
"barcelona_65",0.133875638382098
"barcelona_5",0.128982773595831
"barcelona_66",0.129194367911172
"barcelona_4",0.126586561954625
"barcelona_67",0.106934531862972
"barcelona_68",0.0927271725519659
"barcelona_71",0.133019085160549
"barcelona_61",0.139950051192043
"barcelona_72",0.139051973922492
"barcelona_73",0.145157896797432
"barcelona_69",0.0879273387614019
"barcelona_70",0.102710027139761
"barcelona_56",0.126100453327838
"barcelona_57",0.137433749228143
"barcelona_59",0.145556833164226
"barcelona_60",0.143026539681104
"barcelona_44",0.141013778703452
"barcelona_45",0.146053412007868
"barcelona_52",0.141874301994302
"barcelona_53",0.125994387535726
"barcelona_58",0.145156613756614
"barcelona_54",0.114009113761703
"barcelona_50",0.124556457611902
"barcelona_55",0.119065217391304
"barcelona_49",0.124911043702955
"barcelona_48",0.141592779001084
"barcelona_51",0.140466666666667
"barcelona_46",0.146061218243036
"barcelona_47",0.14590303030303
"barcelona_42",0.139607407407407
"istanbul_032",0.139923070016207
"istanbul_015",0.138287164563307
"istanbul_014",0.129267335600126
"istanbul_002",0.12999364970304
"istanbul_018",0.147676511031506
"istanbul_008",0.137301199993234
"istanbul_012",0.144635113737861
"istanbul_001",0.0514939187192996
"istanbul_004",0.10516972441661
"istanbul_026",0.121431819352231
"istanbul_007",0.128369827765238
"istanbul_006",0.132669892973924
"istanbul_005",0.127422458035079
"istanbul_022",0.129767269086266
"istanbul_017",0.124020095835892
"istanbul_019",0.118866309651933
"istanbul_035",0.109309243526412
"istanbul_009",0.127291911692785
"istanbul_021",0.126322106470764
"istanbul_024",0.116528978080513
"istanbul_020",0.108041360667501
"istanbul_013",0.104035669420906
"istanbul_033",0.106863159760996
"istanbul_030",0.111104749459443
"istanbul_010",0.104257885904788
"istanbul_038",0.111983046042687
"istanbul_023",0.120013257233435
"istanbul_039",0.121850348251595
"istanbul_025",0.12979927384562
"istanbul_028",0.1188522643693
"istanbul_027",0.125002866213522
"istanbul_034",0.140697506891487
"istanbul_029",0.127762716694553
"istanbul_003",0.138333967843432
"istanbul_037",0.124934801605586
"istanbul_016",0.121478816127137
"istanbul_011",0.121025113511861
"istanbul_036",0.140820225488242
"istanbul_031",0.123228368607414
"telaviv_045",0.118403532898088
"telaviv_047",0.143689049919485
"telaviv_046",0.139488479892575
"telaviv_049",0.148369565217391
"telaviv_048",0.149247397690384
"telaviv_050",0.149234686999168
"telaviv_051",0.152785465838509
"telaviv_014",0.155142512077295
"telaviv_015",0.152695652173913
"telaviv_007",0.151131896770913
"telaviv_008",0.145409116409537
"telaviv_002",0.130602218968236
"telaviv_001",0.126250127129418
"telaviv_004",0.145345551755957
"telaviv_009",0.144704637255528
"telaviv_003",0.105992279477545
"telaviv_005",0.158451255359349
"telaviv_010",0.150552000447653
"telaviv_011",0.149379050686297
"telaviv_012",0.15067576489533
"telaviv_013",0.151023967519461
"telaviv_016",0.148869565217391
"telaviv_018",0.155246626686657
"telaviv_019",0.15165906155833
"telaviv_026",0.154399080947331
"telaviv_027",0.156634782608696
"telaviv_028",0.155571906354515
